FID,COUNT,AREA,SUM,PERCENTAGE
353,232404,0.007308669,0,0
354,47126,0.001482024,585,0.01241353
355,479021,0.01506431,32307,0.067443807
356,246004,0.007736363,0,0
357,235964,0.007420624,0,0
358,421799,0.013264786,0,0
359,396336,0.012464022,0,0
360,15214,0.000478452,0,0
361,49952,0.001570897,0,0
362,330625,0.010397535,0,0
363,208005,0.006541366,0,0
364,328352,0.010326053,0,0
365,284348,0.00894221,0,0
366,281732,0.008859942,0,0
367,517790,0.016283522,129,0.000249136
368,769600,0.024202473,92,0.000119543
369,429354,0.013502376,1054,0.002454851
370,300362,0.00944582,0,0
371,482808,0.015183404,717,0.001485062
372,316274,0.009946223,0,0
373,450514,0.014167819,0,0
374,826766,0.026000237,0,0
375,309256,0.00972552,0,0
376,494448,0.01554946,0,0
377,813026,0.02556814,0,0
378,2498336,0.078567971,0,0
379,678527,0.021338399,0,0
380,48615,0.00152885,0,0
381,788683,0.024802598,322,0.000408276
382,470925,0.014809706,606,0.001286829
383,757436,0.023819939,5118,0.006757007
384,639922,0.020124344,0,0
385,613222,0.019284679,0,0
386,517008,0.01625893,3399,0.006574366
387,672222,0.021140118,12571,0.018700667
388,1634920,0.051415161,44216,0.027044748
389,2091217,0.065764844,49310,0.023579571
390,3397757,0.106853071,70149,0.020645679
391,70794,0.002226338,2394,0.033816425
392,4660795,0.146573242,13353,0.002864962
393,1572705,0.049458616,6256,0.00397786
394,773996,0.024340719,10181,0.013153815
395,86221,0.002711488,0,0
396,12086,0.000380082,0,0
397,416259,0.013090563,0,0
398,436441,0.013725249,0,0
399,435221,0.013686882,0,0
400,19725,0.000620314,1548,0.078479087
401,38894,0.001223143,0,0
402,9353,0.000294134,0,0
403,1124312,0.035357499,0,0
404,899208,0.028278401,0,0
405,1254017,0.039436478,0,0
406,278902,0.008770944,0,0
407,466493,0.014670328,0,0
408,352387,0.011081909,0,0
409,121532,0.003821953,0,0
410,418341,0.013156038,0,0
411,303914,0.009557524,0,0
412,537161,0.016892704,0,0
413,433560,0.013634647,0,0
414,300319,0.009444468,0,0
415,690000,0.021699203,0,0
416,323138,0.010162083,0,0
417,4696,0.00014768,0,0
418,16694,0.000524995,0,0
419,9644,0.000303286,0,0
420,8521,0.000267969,0,0
421,8090,0.000254415,0,0
422,6186,0.000194538,0,0
423,1710,5.37763E-05,0,0
424,3447,0.000108402,0,0
425,2063,6.48775E-05,0,0
426,3226,0.000101452,0,0
427,5317,0.00016721,0,0
428,29288,0.000921053,0,0
429,789380,0.024824517,0,0
430,1154755,0.036314874,172,0.000148949
431,416012,0.013082795,492,0.001182658
432,65333,0.0020546,0,0
433,20466,0.000643617,0,0
434,18853,0.000592891,0,0
435,21189,0.000666354,0,0
436,2043092,0.064251403,0,0
437,4484366,0.141024882,711,0.000158551
438,4497095,0.141425185,478,0.000106291
439,68028,0.002139353,0,0
440,790966,0.024874394,0,0
441,1984197,0.062399266,0,0
442,3055778,0.096098474,0,0
443,962589,0.030271615,0,0
444,1421610,0.044706962,0,0
445,351921,0.011067254,0,0
