FID,COUNT,AREA,SUM,aug_22,nov_dec_24,oct_24,recur
159,1046707,0.032967188,0,0,0,0,0
160,1076226,0.033896921,0,0,0,0,0
167,713266,0.022465097,0,0,0,0,0
169,412950,0.013006314,0,0,0,0,0
175,18300,0.000576379,0,0,0,0,0
178,1702890,0.053634393,0,0,0,0,0
179,925230,0.029141136,0,0,0,0,0
180,694213,0.021865002,0,0,0,0,0
181,56336,0.001774364,0,0,0,0,0
182,19994,0.000629733,0,0,0,0,0
183,3290,0.000103622,0,0,0,0,0
184,3978,0.000125291,0,0,0,0,0
185,2707,8.52599E-05,0,0,0,0,0
186,31788,0.001001198,0,0,0,0,0
187,4724,0.000148788,0,0,0,0,0
188,5089,0.000160284,0,0,0,0,0
189,900593,0.028365167,0,0,0,0,0
191,1036823,0.03265588,0,0,0,0,0
192,13507,0.000425418,0,0,0,0,0
193,14851,0.000467749,0,0,0,0,0
195,108728,0.003424508,0,0,0,0,0
196,278196,0.008762089,0,0,0,0,0
197,151547,0.004773139,0,0,0,0,0
198,302879,0.009539507,0,0,0,0,0
199,308443,0.009714751,0,0,0,0,0
200,271296,0.008544766,0,0,0,0,0
201,97565,0.003072917,0,0,0,0,0
202,372128,0.01172058,0,0,0,0,0
203,64372,0.002027467,0,0,0,0,0
211,823903,0.025949731,0,0,0,0,0
212,676554,0.021308812,0,0,0,0,0
213,853153,0.026870992,0,0,0,0,0
214,742071,0.023372342,0,0,0,0,0
215,43590,0.001372915,0,0,0,0,0
222,519303,0.016356019,0,0,0,0,0
225,1379383,0.043445184,0,0,0,0,0
227,235178,0.00740719,0,0,0,0,0
228,650315,0.020482386,0,0,0,0,0
230,261295,0.008229773,0,0,0,0,0
231,13133,0.000413638,0,0,0,0,0
232,12069,0.000380126,0,0,0,0,0
233,29581,0.000931686,0,0,0,0,0
235,4042912,0.127335958,0,0,0,0,0
237,532948,0.016785783,0,0,0,0,0
239,33318,0.001049387,0,0,0,0,0
240,525186,0.01654131,0,0,0,0,0
241,49109,0.001546742,0,0,0,0,0
242,22204,0.000699339,0,0,0,0,0
243,5154336,0.162341479,0,0,0,0,0
245,5305057,0.167088602,0,0,0,0,0
248,85936,0.002706649,0,0,0,0,0
250,387462,0.012203542,0,0,0,0,0
251,337932,0.01064354,0,0,0,0,0
252,286409,0.009020766,0,0,0,0,0
253,175609,0.005530999,0,0,0,0,0
256,61563,0.001938994,0,0,0,0,0
257,1735687,0.05466737,0,0,0,0,0
259,606649,0.019107077,0,0,0,0,0
260,149945,0.004722683,0,0,0,0,0
261,681175,0.021454355,0,0,0,0,0
262,155664,0.004902809,0,0,0,0,0
263,2402936,0.075683111,0,0,0,0,0
265,1021316,0.03216747,0,0,0,0,0
266,152188,0.004793328,0,0,0,0,0
268,20947,0.000659749,0,0,0,0,0
269,1246492,0.039259636,0,0,0,0,0
270,1078967,0.033983252,0,0,0,0,0
271,124375,0.003917327,0,0,0,0,0
272,1391087,0.043813814,0,0,0,0,0
273,998124,0.031437013,0,0,0,0,0
274,860870,0.027114047,0,0,0,0,0
276,9140,0.000287874,0,0,0,0,0
277,251285,0.007914497,0,0,0,0,0
279,508691,0.016021782,0,0,0,0,0
281,166762,0.005252353,0,0,0,0,0
283,4832036,0.152190286,0,0,0,0,0
284,36604,0.001152883,0,0,0,0,0
285,276445,0.008706939,0,0,0,0,0
286,641601,0.020207929,0,0,0,0,0
287,423155,0.013327732,0,0,0,0,0
288,619302,0.019505597,0,0,0,0,0
289,64091,0.002018617,0,0,0,0,0
290,447006,0.014078945,0,0,0,0,0
291,672360,0.021176717,0,0,0,0,0
292,499577,0.015734727,0,0,0,0,0
293,28793,0.000906867,0,0,0,0,0
296,372061,0.01171847,0,0,0,0,0
297,17044,0.00053682,0,0,0,0,0
298,592948,0.018675549,0,0,0,0,0
299,772252,0.024322926,0,0,0,0,0
300,363625,0.011452769,0,0,0,0,0
304,3382815,0.106545477,0,0,0,0,0
305,1002498,0.031574777,0,0,0,0,0
306,932696,0.029376286,0,0,0,0,0
311,214670,0.006761268,0,0,0,0,0
312,284948,0.008974751,0,0,0,0,0
313,258716,0.008148545,0,0,0,0,0
314,281863,0.008877585,0,0,0,0,0
316,10519,0.000331307,0,0,0,0,0
317,715331,0.022530136,0,0,0,0,0
318,601794,0.018954164,0,0,0,0,0
319,722422,0.022753475,0,0,0,0,0
320,395774,0.012465337,0,0,0,0,0
323,121562,0.003828729,0,0,0,0,0
327,480419,0.015131325,0,0,0,0,0
329,394866,0.012436739,0,0,0,0,0
330,319081,0.010049807,0,0,0,0,0
331,146825,0.004624415,0,0,0,0,0
332,252181,0.007942718,0,0,0,0,0
333,492807,0.015521498,0,0,0,0,0
334,328425,0.010344106,0,0,0,0,0
335,207303,0.006529236,0,0,0,0,0
336,30731,0.000967907,0,0,0,0,0
337,307842,0.009695822,0,0,0,0,0
339,340090,0.010711508,0,0,0,0,0
340,378262,0.011913778,0,0,0,0,0
341,874532,0.027544347,0,0,0,0,0
343,1796231,0.05657427,0,0,0,0,0
344,1993738,0.06279497,0,0,0,0,0
345,85667,0.002698176,0,0,0,0,0
346,284445,0.008958908,0,0,0,0,0
347,339903,0.010705619,0,0,0,0,0
348,301265,0.009488672,0,0,0,0,0
349,444670,0.01400537,0,0,0,0,0
350,275935,0.008690876,0,0,0,0,0
352,63451,0.001998459,0,0,0,0,0
353,232040,0.007308355,0,0,0,0,0
356,245628,0.007736324,0,0,0,0,0
357,235610,0.007420796,0,0,0,0,0
358,421159,0.013264866,0,0,0,0,0
359,395736,0.01246414,0,0,0,0,0
360,15195,0.000478583,0,0,0,0,0
361,49879,0.001570994,0,0,0,0,0
362,330104,0.010396988,0,0,0,0,0
363,207648,0.006540102,0,0,0,0,0
364,327874,0.010326752,0,0,0,0,0
365,283937,0.008942908,0,0,0,0,0
366,281279,0.008859191,0,0,0,0,0
370,299928,0.009446562,0,0,0,0,0
372,315815,0.009946941,0,0,0,0,0
373,449847,0.014168426,0,0,0,0,0
374,825505,0.026000187,0,0,0,0,0
375,308783,0.00972546,0,0,0,0,0
376,493688,0.015549246,0,0,0,0,0
377,811793,0.025568313,0,0,0,0,0
378,2494559,0.078568878,0,0,0,0,0
380,48560,0.001529451,0,0,0,0,0
384,638949,0.020124401,0,0,0,0,0
385,612310,0.019285377,0,0,0,0,0
395,86073,0.002710964,0,0,0,0,0
396,12070,0.000380158,0,0,0,0,0
397,415548,0.013088141,0,0,0,0,0
398,435788,0.013725622,0,0,0,0,0
399,434565,0.013687102,0,0,0,0,0
401,38835,0.001223151,0,0,0,0,0
402,9339,0.000294142,0,0,0,0,0
403,1122600,0.035357521,0,0,0,0,0
404,897804,0.028277324,0,0,0,0,0
405,1252035,0.039434219,0,0,0,0,0
408,351877,0.011082753,0,0,0,0,0
409,121328,0.003821359,0,0,0,0,0
411,303476,0.00955831,0,0,0,0,0
412,536323,0.016892082,0,0,0,0,0
413,432858,0.013633339,0,0,0,0,0
414,299953,0.009447349,0,0,0,0,0
415,688935,0.021698765,0,0,0,0,0
416,322646,0.01016209,0,0,0,0,0
417,4695,0.000147874,0,0,0,0,0
418,16664,0.000524851,0,0,0,0,0
419,9613,0.000302772,0,0,0,0,0
420,8515,0.000268189,0,0,0,0,0
421,8086,0.000254677,0,0,0,0,0
422,6179,0.000194614,0,0,0,0,0
423,1710,5.38583E-05,0,0,0,0,0
424,3437,0.000108252,0,0,0,0,0
425,2050,6.4567E-05,0,0,0,0,0
426,3219,0.000101386,0,0,0,0,0
427,5307,0.00016715,0,0,0,0,0
428,29236,0.00092082,0,0,0,0,0
432,65248,0.002055057,0,0,0,0,0
433,20442,0.000643843,0,0,0,0,0
434,18820,0.000592757,0,0,0,0,0
435,21157,0.000666363,0,0,0,0,0
436,2039976,0.064251287,0,0,0,0,0
439,67926,0.002139404,0,0,0,0,0
440,789765,0.024874517,0,0,0,0,0
441,1981165,0.06239897,0,0,0,0,0
445,351389,0.011067383,0,0,0,0,0
