system:index,VHI_M,VHI_class,adm4_id,month,season,year,ym,.geo
VHI_M_2020-01_00000000000000000138,0.43816697191624,2.0952149765021173,313,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000139,0.4235184502584718,1.9894656093623173,314,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000013a,0.482483923918111,2.3961113973479438,315,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001ef,0.4601520035831585,2.277246907509963,496,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001f0,0.4765725078168364,2.355654245416968,497,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000081,0.4193805729885551,2.0,130,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000a0,0.4378248915961509,2.0556952928494425,161,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000a1,31.95417271514192,2.4169950355083616,162,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000a2,8.644019470956295,2.61971623884431,163,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000a3,5.451457434081113,1.9594390792432863,164,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000a4,77.96011135779464,3.252642568184783,165,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000014f,0.372210442778365,1.6323974789228126,336,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000150,0.381406242766446,1.7201632319934703,337,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000151,2.070939261708176,2.0217683577840164,338,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000152,0.4366963140270671,2.076211020899668,339,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000153,0.392544978606139,1.849940558024004,340,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000171,0.4570796747851196,2.118505731715492,370,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000172,0.3900337190714964,1.7824478203090386,371,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000173,0.4149259013562468,1.954824596293056,372,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001f1,0.4636697309609518,2.242930453522569,498,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
