system:index,VHI_M,adm4_id,month,season,year,ym,.geo
VHI_M_2021-01_00000000000000000202,0.35499998927116394,515,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000002,0.4449999928474426,3,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000000d,0.5299999713897705,14,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000027,0.43500000238418574,40,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000070,0.42500001192092896,113,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000071,0.4300000071525574,114,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001b0,0.4050000011920929,433,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001b1,0.49000000953674316,434,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001b2,0.41999998688697815,435,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001cd,0.46000000834465016,462,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001ce,0.4449999928474426,463,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001cf,0.4600000083446502,464,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000001c,0.48500001430511475,29,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000001d,0.4749999940395356,30,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000001e,0.4149999916553498,31,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000026,0.45500001311302185,39,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000f9,0.47999998927116416,250,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000fa,0.5,251,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000fb,0.5,252,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000fc,0.4650000035762787,253,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000163,0.46000000834465027,356,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000164,0.44999998807907104,357,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000165,0.49000000953674316,358,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000166,0.449999988079071,359,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000149,0.4850000143051147,330,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000014a,0.4000000059604645,331,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000014b,0.41499999165534973,332,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000014c,0.4950000047683716,333,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000014d,0.4449999928474426,334,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000014e,0.45500001311302185,335,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000158,0.4699999988079071,345,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000159,0.4650000035762787,346,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000015a,0.5,347,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000015b,0.45500001311302185,348,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000015c,0.41999998688697815,349,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000015d,0.49000000953674316,350,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000008,0.38499999046325684,9,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c2,0.3400000035762787,195,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c3,0.6150000095367432,196,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c4,0.4000000059604645,197,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c5,0.40999999642372137,198,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c6,0.5350000262260437,199,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c7,0.3799999952316284,200,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c8,0.3100000023841858,201,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000c9,0.4350000023841858,202,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000136,0.38999998569488525,311,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000137,0.4399999976158142,312,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000138,0.4650000035762787,313,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000139,0.4600000083446504,314,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000013a,0.4699999988079071,315,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001ef,0.4300000071525573,496,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001f0,0.4950000047683716,497,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000081,0.4300000071525574,130,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000a0,0.44999998807907104,161,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000a1,0.45500001311302185,162,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000a2,0.49500000476837164,163,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000a3,0.4350000023841858,164,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000a4,0.5199999809265137,165,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000014f,0.39500001072883606,336,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000150,0.425000011920929,337,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000151,0.49000000953674316,338,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000152,0.45500001311302185,339,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000153,0.43999999761581415,340,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000171,0.4950000047683715,370,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000172,0.4050000011920929,371,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000173,0.44999998807907104,372,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001f1,0.4799999892711638,498,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001f2,0.4749999940395355,499,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001f3,0.3650000095367432,500,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000092,0.5299999713897705,147,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000093,0.4250000119209289,148,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000094,0.4050000011920929,149,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000095,0.3499999940395355,150,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000096,0.46000000834465027,151,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000097,0.6000000238418579,152,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000098,0.35499998927116394,153,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000a9,0.3400000035762787,170,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000017c,0.4650000035762787,381,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000017d,0.425000011920929,382,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000017e,0.46999999880790705,383,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001ee,0.48500001430511475,495,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000020d,0.48500001430511475,526,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000020e,0.3899999856948852,527,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000020f,0.3950000107288361,528,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000210,0.4000000059604644,529,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000211,0.4449999928474426,530,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000058,0.44499999284744274,89,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000059,0.4050000011920929,90,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000018b,0.4399999976158142,396,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000018c,0.39500001072883606,397,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000018d,0.3499999940395355,398,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000018e,0.39500001072883606,399,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000036,0.4000000059604645,55,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000db,0.39500001072883606,220,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000dc,0.4149999916553498,221,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000dd,0.3650000095367433,222,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000102,0.4850000143051148,259,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000103,0.49000000953674316,260,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000104,0.4300000071525573,261,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000105,0.4000000059604645,262,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000000a,0.49000000953674316,11,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b1,0.4350000023841858,178,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b2,0.44999998807907104,179,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000b3,0.4199999868869781,180,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000ca,0.4300000071525574,203,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000d2,0.4749999940395355,211,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000d3,0.4250000119209289,212,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000d4,0.46999999880790716,213,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000d5,0.5450000166893005,214,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000bc,0.37500000000000006,189,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000bd,0.3499999940395355,190,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000be,0.37499999999999994,191,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000f1,0.3400000035762787,242,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000100,0.3100000023841858,257,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000101,0.41999998688697815,258,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000012f,0.41999998688697815,304,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000130,0.3700000047683717,305,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000131,0.4050000011920929,306,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000065,0.46500000357627874,102,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000066,0.43999999761581415,103,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000067,0.41499999165534973,104,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000068,0.40500000119209284,105,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000109,0.41499999165534973,266,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001c1,0.44499999284744257,450,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000001c2,0.43000000715255743,451,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000113,0.2849999964237213,276,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000114,0.4499999880790711,277,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000115,0.4449999928474427,278,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000116,0.3700000047683716,279,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000117,0.40500000119209273,280,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000167,0.4300000071525574,360,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000168,0.41499999165534973,361,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000169,0.3449999988079071,362,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000016a,0.395000010728836,363,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000016b,0.3050000071525573,364,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000016c,0.3449999988079071,365,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000016d,0.39500001072883606,366,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000cb,0.4749999940395355,204,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000eb,0.4900000095367432,236,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000ec,0.4300000071525573,237,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000ed,0.42500001192092896,238,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000ee,0.49000000953674316,239,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_000000000000000000ef,0.4300000071525574,240,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000146,0.46999999880790705,327,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000147,0.46999999880790705,328,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000148,0.4350000023841858,329,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000015e,0.4600000083446502,351,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_0000000000000000015f,0.4900000095367431,352,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000160,0.4300000071525574,353,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000161,0.5099999904632568,354,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000162,0.4600000083446502,355,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000010,0.38999998569488525,17,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000121,0.4449999928474426,290,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2021-01_00000000000000000122,0.3950000107288361,291,1,Dry,2021,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
