fid,2021-01_vhi,2021-02_vhi,2021-03_vhi,2021-04_vhi,2021-05_vhi,2021-06_vhi,2021-07_vhi,2021-08_vhi,2021-09_vhi,2021-10_vhi,2021-11_vhi,2021-12_vhi,2022-01_vhi,2022-02_vhi,2022-03_vhi,2022-04_vhi,2022-05_vhi,2022-06_vhi,2022-07_vhi,2022-08_vhi,2022-09_vhi,2022-10_vhi,2022-11_vhi,2022-12_vhi,2023-01_vhi,2023-02_vhi,2023-03_vhi,2023-04_vhi,2023-05_vhi,2023-06_vhi,2023-07_vhi,2023-08_vhi,2023-09_vhi,2023-10_vhi,2023-11_vhi,2023-12_vhi,2024-01_vhi,2024-02_vhi,2024-03_vhi,2024-04_vhi,2024-05_vhi,2024-06_vhi,2024-07_vhi,2024-08_vhi,2024-09_vhi,2024-10_vhi,2024-11_vhi,2024-12_vhi
13,0.436353586,0.46352986,0.553382606,0.549227463,0.711382474,0.799689352,0.612951083,0.48560834,0.397635313,0.708382605,0.734360959,0.524044054,0.466409305,0.594344357,0.580760939,0.58574138,0.661751568,0.875622219,0.739806124,0.667576983,0.73488766,0.633159853,0.69643296,0.509539819,0.486309014,0.534843195,0.625622219,0.673549986,210.6929819,0.884663991,0.672982238,0.569041546,0.588092194,0.806228737,0.646323456,0.435021488,0.363152916,0.446525741,0.440362502,0.435427432,0.557625082,0.507842945,0.49239459,0.506079551,0.709523337,0.684343793,0.643597174,0.609105454
14,17.08732898,17.19109499,17.16242726,17.18053603,17.25453499,17.21825122,17.0644748,17.04904442,17.14300875,17.13586466,17.15442977,17.07699948,17.14768272,17.16897818,17.18723675,17.20923146,17.18985149,17.27526974,17.12002295,17.22572697,17.19999091,17.19193453,17.16633097,17.09882794,17.13776065,17.21904659,17.1672203,17.25171501,17.31968306,17.25618937,17.12968177,17.14553905,17.18755282,17.11192718,17.11472896,17.06898251,17.06213283,17.09138725,17.10542691,17.1151628,17.20506192,17.25473979,17.11755411,17.21090795,17.22301741,17.18313951,17.21059968,17.09740257
15,0.433593285,0.551119328,0.43424193,0.639174079,0.642589472,0.766496836,0.72317877,0.652548039,0.61144095,0.569777007,0.533128138,0.491519593,0.521984812,0.583470444,0.520087981,0.698784667,0.623665635,0.835380627,0.670570278,0.880396466,0.710355723,0.64764895,0.59616553,0.502990079,0.554815392,0.640314087,0.456072984,0.687502109,0.620412375,0.800808148,0.867057023,0.843240809,0.674247604,0.591208616,0.611069872,0.462026658,0.458393115,0.516824969,0.352253801,0.563767101,0.604960715,0.751329732,0.667901892,0.712785484,0.861977065,0.760532239,0.674813457,0.579427437
16,0.588997748,0.531069511,0.629174485,0.689883635,0.614952765,0.746338212,0.465491122,0.293724349,0.170727603,0.642668924,0.712647338,0.516202134,0.487669542,0.545623438,0.55497654,0.554149463,0.536944124,0.911015703,0.571082957,0.463895771,0.569717528,0.785252753,0.803648965,0.581235923,0.589529211,0.587787476,0.657366423,0.626400148,8.609416285,0.917012641,0.664384075,0.352434312,0.545852723,0.707316692,0.628356487,0.441452705,0.478484424,0.442073948,0.527352663,0.623970851,0.587109614,0.517563506,0.341319133,0.26819413,0.412773399,0.814566755,0.749037475,0.706214029
17,0.414947993,0.427997903,0.509093153,0.638075903,0.802255272,0.4770582,0.804970344,0.803887872,0.545515913,0.650443858,0.275553325,0.26230134,0.452878389,0.464392851,0.566518572,0.645985317,0.74537998,0.91566965,0.910020982,0.83513548,0.798866893,0.678709516,0.374222697,0.432236565,0.573609607,0.560171522,0.476950557,0.598590458,0.794771917,0.688605961,0.840775926,0.654487288,0.667721011,0.711598389,0.302428153,0.285481249,0.425082569,0.462627954,0.481034123,0.587666274,0.774895085,0.512103366,0.72808685,0.48141137,0.773226901,0.7947555,0.488851836,0.492076908
18,0.410704149,0.529524532,0.457170628,0.636460016,0.603867144,0.546689497,0.521186789,0.425407992,0.479633842,0.693812965,0.666606108,0.417993351,0.388479806,0.569477467,0.583796927,0.57053312,0.505737424,0.691063473,0.437600505,0.628266236,0.74859481,0.637771286,0.629528073,0.440470909,0.470741703,0.58002318,0.59371354,0.567598042,3.677978885,0.606810103,0.747296712,0.569831004,0.620297699,0.555521456,0.540379641,0.330923966,0.371908421,0.490508895,0.428406882,0.554377763,0.433574338,0.330462414,0.629358463,0.665743397,0.742814017,0.776778151,0.565732688,0.456493782
19,0.514308455,0.51372189,0.602804477,0.59626378,0.704263417,0.698166913,0.444606318,0.56331581,0.577710986,0.629310488,0.476066619,0.40351397,0.520779501,0.523300486,0.642039262,0.629126682,0.632014338,0.866860421,0.547712503,0.59699783,0.752123655,0.872595748,0.674357173,0.516759763,0.650261816,0.574619306,0.577850086,0.687937217,0.659734673,0.84973381,0.672083506,0.548514547,0.561668441,0.526463229,0.412416491,0.352637193,0.367128879,0.32797431,0.492155334,0.543899123,0.584198481,0.757190578,0.824656544,0.701897834,1.159866982,0.720151187,0.575380443,0.499452644
20,0.482274827,0.476607139,0.575083568,0.595964189,0.711482044,0.690980536,0.439624348,0.608642735,0.581516218,0.612334075,0.460079912,0.390199108,0.429378732,0.472029377,0.61126336,0.598357313,0.599056635,0.866600469,0.555785381,0.647623549,0.743778227,0.877559083,0.670773561,0.533035747,0.611212671,0.553705322,0.564906479,0.676223858,0.664504906,0.875727141,0.685319648,0.56558233,0.559696194,0.523078866,0.402907886,0.349762458,0.293237721,0.291380647,0.472227873,0.557570596,0.585055422,0.756562165,0.833417618,0.719476403,0.673702436,0.724578966,0.586528017,0.526972069
21,0.387945535,0.416038743,0.552262246,0.597009875,0.697166033,0.792452743,0.492821445,0.7143832,0.547413155,0.463659761,0.351234006,0.349369384,0.327410732,0.423132151,0.624098672,0.592530538,0.586107818,0.873071726,0.588317716,0.776811378,0.690250112,0.734173641,0.559788584,0.468624619,0.448410456,0.44824105,0.577985604,0.639328988,0.629258788,0.954501231,0.72151821,0.697721676,0.612295207,0.523652169,0.354520778,0.318586892,0.238814061,0.263911489,0.560220464,0.641372632,0.589760309,0.820594421,0.744987399,0.730023668,0.648817455,0.680602581,0.473851548,0.449915581
22,0.483727276,0.482120532,0.575919724,0.568577725,0.688339896,0.65045482,0.433813931,0.585560862,0.468570716,0.519387217,0.438742148,0.387784041,0.522787855,0.50589756,0.635066967,0.620870492,0.643419308,0.874127881,0.544971212,0.576306929,0.731071114,0.810171715,0.634924513,0.471527971,0.616068564,0.550115243,0.550310423,0.675061459,0.675038737,0.82253886,0.732420685,0.597837094,0.528819553,0.447099202,0.391356617,0.342325099,0.374325266,0.333346083,0.497263428,0.538636241,0.5857357,0.728479266,0.85734779,0.711466893,2.276989126,0.765403055,0.556490364,0.470711233
