precip_max,NDVI,LST,month,season,year,fid,COMMUNE,DEPARTEMEN,REGION
0,0.1923,29.57,7,Wet,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.1717,32.07,3,Dry,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.3317,33.55,10,Wet,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.2614,34.09,11,Dry,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.2107,31.51,12,Dry,2023,3,BARGNY,RUFISQUE,DAKAR
0,0.1327,29.97,6,Wet,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.145,31.75,5,Dry,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.3059,31.23,10,Wet,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.35405,29.31,9,Wet,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.29465,32.35,8,Wet,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.20085,30.01,7,Wet,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.2504,33.23,11,Dry,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.1685,30.67,2,Dry,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.15395,28.92,3,Dry,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.1485,30.72,4,Dry,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.1978,29.98,1,Dry,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.2185,29.48,12,Dry,2024,3,BARGNY,RUFISQUE,DAKAR
0,0.16935,42.51,5,Dry,2021,4,KANEL,KANEL,MATAM
18.98681068,0.1816,38.16,6,Wet,2021,4,KANEL,KANEL,MATAM
0,0.199675,42.09,3,Dry,2021,4,KANEL,KANEL,MATAM
0.144490898,0.2095,37.63,2,Dry,2021,4,KANEL,KANEL,MATAM
0,0.185225,47.25,4,Dry,2021,4,KANEL,KANEL,MATAM
0.217018723,0.219135691,36.15,1,Dry,2021,4,KANEL,KANEL,MATAM
336.8909607,0.333799606,33.53,8,Wet,2021,4,KANEL,KANEL,MATAM
