fid,2021-01_lst,2021-02_lst,2021-03_lst,2021-04_lst,2021-05_lst,2021-06_lst,2021-07_lst,2021-08_lst,2021-09_lst,2021-10_lst,2021-11_lst,2021-12_lst,2022-01_lst,2022-02_lst,2022-03_lst,2022-04_lst,2022-05_lst,2022-06_lst,2022-07_lst,2022-08_lst,2022-09_lst,2022-10_lst,2022-11_lst,2022-12_lst,2023-01_lst,2023-02_lst,2023-03_lst,2023-04_lst,2023-05_lst,2023-06_lst,2023-07_lst,2023-08_lst,2023-09_lst,2023-10_lst,2023-11_lst,2023-12_lst,2024-01_lst,2024-02_lst,2024-03_lst,2024-04_lst,2024-05_lst,2024-06_lst,2024-07_lst,2024-08_lst,2024-09_lst,2024-10_lst,2024-11_lst,2024-12_lst
284,34.50196566,34.07441209,37.55450412,38.93384066,35.00846566,35.99481044,36.68159066,34.58847253,34.73844643,36.34295192,38.79444643,35.77552747,36.50425137,33.50764286,35.56692995,40.34426236,39.59041758,33.62524038,36.39016209,34.28367857,33.80036126,35.53784203,36.50201786,34.36401648,33.79611538,34.45945192,38.33287912,39.87531731,37.36335714,37.58814286,31.35844505,31.93521978,32.85866896,34.25174863,35.84114148,35.0459794,33.34268407,37.07564286,37.20785714,36.6096511,36.328125,34.19895055,29.66869368,32.88905495,34.41352335,35.32949313,34.35389286,31.28480082
285,38.69406126,39.28429384,41.40459123,42.84106294,38.90522181,40.1446025,45.51626839,35.64807535,38.64815442,42.58040291,42.25658287,39.60361618,39.03672593,37.14528035,39.15442518,43.86208035,43.41754301,39.08363036,42.54519855,33.49778803,35.62729262,40.97636601,39.83989048,38.37218878,35.96922599,38.03074947,42.06867975,43.61585849,42.78017805,43.14030802,36.85449607,38.51056696,35.20203363,36.74372579,40.03992647,37.79819741,35.53159055,38.76177151,40.74156519,40.93169634,40.40797573,37.34007553,35.71728762,34.24500049,35.35826049,38.30546976,37.60452179,33.15364935
286,38.14918702,39.74857129,41.44451264,43.57054329,38.69601868,40.52396715,39.73209009,35.96304243,37.71136755,41.64682324,42.02169335,39.81362718,38.51810689,37.05132362,39.14851961,43.65806437,43.42486173,39.18790811,41.83766179,34.43418518,37.55391668,39.03319399,39.23538596,38.40516235,36.30315605,38.58679991,42.56704109,43.96665042,42.6229252,42.93915934,37.12636953,39.81601292,35.16119446,37.21313839,40.77794949,37.7569835,35.4300065,38.81536638,40.7821256,40.97836875,40.29435473,37.20271933,36.6924579,32.33848549,34.76824459,37.8355984,37.57158392,33.45933208
287,38.39718605,38.62935852,41.21917307,43.20699358,38.77918601,39.5255902,43.52409655,36.38417309,38.56338619,42.92913334,41.98970379,39.41172584,39.34961281,37.11301592,39.68630792,43.7995871,44.07793287,38.67583955,42.64940342,36.15836647,36.9528943,39.52073406,39.72410047,38.25134721,35.99387973,37.85992535,41.77454568,43.69000665,42.96901967,42.92749538,36.21214071,36.43052508,35.59902175,37.66081636,40.30643679,37.65192704,35.33315417,38.94186142,40.77801138,40.80245182,40.30351137,37.72784777,37.94262974,37.45602924,36.67446776,38.42310767,37.80224671,33.07003504
288,38.53570287,39.50678528,41.88829848,43.88728191,39.22449648,40.37603188,41.32704191,36.12805296,38.21319322,42.55184911,41.57662913,40.08740281,39.40855187,37.35336353,39.89322868,44.12556214,44.21544177,37.98315164,41.54287334,37.0870218,36.8285599,38.43019197,39.69118922,38.5710147,36.17144691,38.48300665,42.94771502,44.75725826,43.20735429,43.81537134,36.51410317,37.40503725,35.80825969,38.69609452,40.71107328,38.19142152,36.10346118,38.99774598,41.09785795,41.19948969,40.42903504,38.0420283,35.62928275,35.0100725,36.16326085,38.33272295,38.24377072,33.38972365
289,35.09011588,33.86717216,36.32282284,38.48582326,34.31093622,36.48388579,34.40653356,33.94329221,34.74900709,36.44011922,37.59144977,35.55202751,34.19511797,35.54118966,36.23273447,39.58260025,36.80542976,33.90261359,34.3937549,27.6462085,35.72347228,34.98590746,35.64212172,35.38511213,32.51939725,34.57453439,38.53668445,38.07245269,37.73130304,36.18481617,33.18481165,30.06488203,33.26850604,35.16041351,35.04572655,34.17214589,32.42754398,34.46266194,37.02111213,35.88420925,34.90091872,33.37201917,29.31010183,30.75755423,30.76190641,33.22054523,33.76101125,31.62708378
290,39.98894381,39.80656211,41.35199862,46.0246451,42.16961422,43.26367176,34.20507663,32.46544915,30.9997196,34.18246921,39.72808378,38.36848867,38.21415494,38.72426066,40.2807216,45.5040816,43.21292081,37.53015467,37.48389292,26.84843849,30.23043153,33.54294065,37.16169866,38.01036589,35.67217105,39.41989653,43.03587389,45.65261293,43.82904925,43.49858301,34.00573366,35.54280194,30.4660692,32.87471384,37.55811047,37.74804376,35.36355305,38.42123902,40.65413774,40.7919024,40.26539228,38.17738398,32.93450527,27.95517187,29.43811171,33.42872361,35.62681357,35.02346054
291,39.07984968,39.01746749,40.82928681,45.55804304,42.52491718,43.59774161,32.75629897,31.8799566,31.23643527,33.4819865,38.72199203,37.12344586,36.84023391,38.00324967,39.80139166,44.98593407,43.08736876,37.42606745,38.73255412,27.24365419,30.68295943,33.08863156,36.07727048,36.36414866,35.50482492,38.65245405,42.0791904,44.86384698,43.65385427,43.51068572,33.57636567,33.30179704,30.79924662,32.04073132,36.58785683,36.45089248,35.13188799,37.53131439,40.10555374,40.41161951,40.06346208,38.28896599,27.80622162,27.99663175,29.73773993,33.87827055,35.26671859,34.32811926
292,40.8893945,41.46666343,42.48616586,47.2789705,43.01194503,44.68777907,33.57796289,32.91790224,31.01013669,34.30712218,39.96152999,38.42745058,39.03703211,39.38571304,41.20820946,46.48918499,44.18034917,37.58956076,37.76900033,25.94095549,31.02838668,34.08688008,37.81783696,38.36302623,36.45136468,40.10091252,43.4594032,46.51867198,44.31338334,43.91104172,35.64564094,35.43009907,30.75071091,31.86007569,37.76802137,37.98428379,36.11811637,39.16068722,41.3925452,41.49878151,41.30754311,39.08636903,29.37282223,27.2552087,28.96843124,34.14265951,36.32910151,35.63235842
293,36.01099668,34.73247513,36.73377029,36.21118694,36.89591203,34.97768895,34.24730669,33.25242585,35.30047652,39.62342294,38.58525048,37.94902601,35.64745854,35.77355734,34.45757898,38.34259557,37.71136499,36.34524699,38.17958595,30.95360755,34.72977832,38.26450515,36.46604992,36.3779787,33.34206493,34.4209321,37.91244371,37.83812358,37.84130564,37.05264793,33.36608309,32.80697329,33.79506546,35.91969977,37.72801711,34.95888637,32.62597312,35.70490312,34.47257113,36.02337755,34.60795427,34.59725781,32.30690696,31.24015186,33.45893175,35.67101938,36.34799791,32.55909059
