fid,REGION,DEPARTEMEN,COM_ARRT_V,COMMUNE,ARRONDISSE,_count,_sum,class1_percentage,class6_percentage,class8_percentage,class7_percentage,class9_percentage,class2_percentage,class3_percentage,class4_percentage,class5_percentage
350,DIOURBEL,DIOURBEL,NDOULO,TOURE MBONDE,NDOULO,119684,112759,0.942,0,0,0.008,0,0,0,0.011,0.039
351,KAOLACK,KAOLACK,NGOTHIE,DYA,NGOTHIE,145504,99571,0.684,0.016,0.053,0.007,0.006,0,0.001,0.029,0.201
352,KAOLACK,KAOLACK,NGOTHIE,GANDIAYE,NGOTHIE,27512,21407,0.778,0,0,0.062,0,0,0.004,0.074,0.082
353,KAOLACK,KAOLACK,NGOTHIE,NDIEBEL,NGOTHIE,100610,93500,0.929,0,0,0.009,0,0,0.002,0.018,0.042
354,KAOLACK,KAOLACK,NGOTHIE,SIBASSOR,NGOTHIE,20407,13779,0.675,0.013,0.026,0.047,0.003,0,0.002,0.053,0.18
355,KAOLACK,KAOLACK,NGOTHIE,THIOMBY,NGOTHIE,207410,101355,0.489,0.018,0.031,0.006,0.066,0,0.005,0.082,0.3
356,DIOURBEL,BAMBEY,NGOYE,NDANGALMA,NGOYE,106521,93793,0.881,0,0,0.04,0,0,0,0.008,0.071
357,DIOURBEL,BAMBEY,NGOYE,NDONDOL,NGOYE,102179,94124,0.921,0,0,0.023,0,0,0,0.003,0.053
358,DIOURBEL,BAMBEY,NGOYE,NGOYE,NGOYE,182638,173663,0.951,0,0,0.021,0,0,0.001,0.009,0.018
359,DIOURBEL,BAMBEY,NGOYE,THIAKHAR,NGOYE,171626,162096,0.944,0,0,0.012,0,0,0.001,0.01,0.033
360,KAOLACK,GUINGUINEO,GUINGUINEO,GUINGUINEO,,6589,2594,0.394,0,0,0.392,0,0,0,0.136,0.078
361,KAOLACK,GUINGUINEO,NGUELOU,MBOSS,NGUELOU,21627,13879,0.642,0,0,0.031,0,0,0,0.006,0.321
