fid,REGION,DEPARTEMEN,COM_ARRT_V,COMMUNE,ARRONDISSE,_count,_sum,class1_percentage,class6_percentage,class8_percentage,class7_percentage,class9_percentage,class2_percentage,class3_percentage,class4_percentage,class5_percentage
1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,,55183,182,0.003,0,0.001,0.344,0,0,0.002,0.481,0.169
2,TAMBACOUNDA,BAKEL,BAKEL,BAKEL,,30425,199,0.007,0.023,0.001,0.057,0.011,0,0.004,0.146,0.743
3,DAKAR,RUFISQUE,BARGNY,BARGNY,,14911,92,0.006,0.005,0.073,0.387,0.014,0.001,0.005,0.15,0.352
4,MATAM,KANEL,KANEL,KANEL,,27309,486,0.018,0.22,0.009,0.066,0,0,0,0.017,0.658
5,KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,,38299,29,0.001,0.014,0,0.203,0,0,0.251,0.524,0.006
6,KOLDA,KOLDA,KOLDA,KOLDA,,32026,322,0.01,0.001,0,0.409,0,0,0.207,0.329,0.044
7,LOUGA,LINGUERE,LINGUERE,LINGUERE,,24526,403,0.016,0,0,0.11,0,0.002,0,0.039,0.825
8,MATAM,MATAM,MATAM,MATAM,,76775,83,0.001,0.189,0.003,0.034,0,0.001,0.006,0.195,0.571
9,DIOURBEL,MBACKE,MBACKE,MBACKE,,22076,3557,0.161,0,0.001,0.436,0,0,0,0.037,0.364
10,KOLDA,MEDINA YORO FOULAH,MEDINA YORO FOULAH,MEDINA YORO FOULAH,,43839,1968,0.045,0,0,0.012,0,0,0.326,0.502,0.115
11,KAFFRINE,KAFFRINE,KATAKEL,NGANDA,KATAKEL,39670,32454,0.818,0,0,0.03,0,0,0,0.084,0.068
12,MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,,18105,15,0.001,0.002,0.008,0.197,0,0,0.001,0.108,0.66
13,KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,,47894,42,0.001,0,0,0.011,0,0,0.573,0.41,0.005
14,DAKAR,RUFISQUE,SENDOU,SENDOU,,12585,1500,0.119,0.001,0.008,0.062,0,0,0.009,0.464,0.332
15,THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,,78763,24622,0.313,0,0,0.157,0,0,0,0.13,0.398
16,KOLDA,VELINGARA,VELINGARA,VELINGARA,,17427,1030,0.059,0,0,0.327,0,0.001,0.073,0.382,0.158
17,KAOLACK,NIORO,NIORO,NIORO,,11899,4736,0.398,0.002,0,0.252,0,0,0.07,0.205,0.073
18,KEDOUGOU,SARAYA,SARAYA,SARAYA,,176971,6,0,0,0,0.004,0,0,0.556,0.44,0.001
19,MATAM,MATAM,AGNAM CIVOL,AGNAM CIVOL,AGNAM CIVOL,718390,131,0,0.041,0.007,0.004,0,0,0.002,0.014,0.832
20,MATAM,MATAM,AGNAM CIVOL,DABIA,AGNAM CIVOL,551209,113,0,0.031,0.004,0.004,0,0.001,0.001,0.033,0.861
21,MATAM,MATAM,AGNAM CIVOL,NGUIDJILONE,AGNAM CIVOL,67507,8,0,0.051,0.005,0.017,0,0,0,0.016,0.886
22,MATAM,MATAM,AGNAM CIVOL,OREFONDE,AGNAM CIVOL,849635,185,0,0.011,0.007,0.002,0,0,0.003,0.014,0.891
23,MATAM,MATAM,AGNAM CIVOL,THILOGNE,AGNAM CIVOL,38931,4,0,0.038,0.003,0.035,0,0,0.001,0.052,0.869
24,DAKAR,DAKAR,VILLE DE DAKAR,MERMOZ-SACRE COEUR,ALMADIES,5081,0,0,0.001,0.002,0.951,0,0,0.001,0.001,0.043
25,DAKAR,DAKAR,VILLE DE DAKAR,NGOR,ALMADIES,5032,0,0,0.01,0.003,0.796,0.008,0,0.003,0.01,0.172
26,DAKAR,DAKAR,VILLE DE DAKAR,OUAKAM,ALMADIES,8405,0,0,0,0.001,0.821,0.001,0,0.003,0.016,0.157
27,DAKAR,DAKAR,VILLE DE DAKAR,YOFF,ALMADIES,15978,0,0,0.003,0.011,0.685,0.001,0.001,0.003,0.065,0.229
28,MATAM,KANEL,ORKADIERE,OUAOUNDE,ORKADIERE,18442,5,0,0.065,0.003,0.081,0.001,0.001,0.001,0.042,0.803
29,DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE,BABA GARAGE,158235,140770,0.89,0,0,0.013,0,0,0,0.004,0.092
30,DIOURBEL,BAMBEY,BABA GARAGE,DINGUIRAYE,BABA GARAGE,133447,126536,0.948,0,0,0.009,0,0,0.001,0.013,0.025
31,DIOURBEL,BAMBEY,BABA GARAGE,KEUR SAMBA KANE,BABA GARAGE,181900,156441,0.86,0,0,0.014,0,0,0,0.007,0.119
32,TAMBACOUNDA,GOUDIRY,BALA,BALA,BALA,1338247,1979,0.001,0,0,0.001,0,0,0.014,0.978,0.005
33,TAMBACOUNDA,GOUDIRY,BALA,GOUMBAYEL,BALA,1201188,2941,0.002,0,0,0,0,0,0.148,0.843,0.006
34,TAMBACOUNDA,GOUDIRY,BALA,KOAR,BALA,685328,4224,0.006,0,0,0.001,0,0,0.022,0.95,0.021
35,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,KAHENE,BAMBA THIALENE,386775,21598,0.056,0,0,0.003,0,0,0.01,0.766,0.165
36,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,NDAME,BAMBA THIALENE,484371,11166,0.023,0,0,0.002,0,0,0.004,0.829,0.142
37,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,BAMBA THIALENE,BAMBA THIALENE,352410,20463,0.058,0,0,0.003,0,0,0.005,0.711,0.222
38,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,MERETO,BAMBA THIALENE,427936,23013,0.054,0,0,0.002,0,0,0.006,0.796,0.143
39,DIOURBEL,BAMBEY,BAMBEY,BAMBEY,,11585,5099,0.44,0,0,0.378,0,0,0.009,0.089,0.083
40,DAKAR,RUFISQUE,DIAMNIADIO,YENNE,DIAMNIADIO,46825,6307,0.135,0.001,0.003,0.072,0.001,0,0.074,0.455,0.255
41,KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,BANDAFASSI,797872,87,0,0.003,0,0.002,0,0,0.645,0.348,0.001
42,KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,BANDAFASSI,287799,69,0,0.002,0,0.003,0,0,0.646,0.348,0.001
43,KEDOUGOU,KEDOUGOU,BANDAFASSI,NINEFECHA,BANDAFASSI,2741613,151,0,0.003,0,0,0.001,0,0.61,0.385,0
44,KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,BANDAFASSI,2690148,48,0,0.002,0,0.001,0,0,0.67,0.326,0.001
45,LOUGA,LINGUERE,BARKEDJI,BARKEDJI,BARKEDJI,2165061,108128,0.05,0,0,0.001,0,0,0.003,0.035,0.905
46,LOUGA,LINGUERE,BARKEDJI,GASSANE,BARKEDJI,1364058,501596,0.368,0,0,0.001,0,0,0,0.039,0.592
47,LOUGA,LINGUERE,BARKEDJI,THIARNY,BARKEDJI,1141648,516936,0.453,0,0,0,0,0,0.003,0.076,0.467
48,LOUGA,LINGUERE,BARKEDJI,THIEL,BARKEDJI,2174113,167674,0.077,0,0,0,0,0,0.003,0.344,0.575
49,TAMBACOUNDA,BAKEL,BELE,BELE,BELE,1020085,2588,0.003,0,0,0.001,0,0,0.001,0.796,0.198
50,TAMBACOUNDA,BAKEL,BELE,SINTHIOU FISSA,BELE,1004319,5151,0.005,0,0,0.001,0,0,0.005,0.895,0.094
51,TAMBACOUNDA,BAKEL,BELE,KIDIRA,BELE,26778,152,0.006,0.002,0.004,0.059,0.001,0,0.003,0.198,0.728
52,KEDOUGOU,SARAYA,BEMBOU,BEMBOU,BEMBOU,2773420,37,0,0,0,0.001,0.001,0,0.529,0.466,0.003
53,KEDOUGOU,SARAYA,BEMBOU,MEDINA BAFFE,BEMBOU,1162825,4,0,0,0,0,0.001,0,0.678,0.318,0.002
54,ZIGUINCHOR,BIGNONA,BIGNONA,BIGNONA,,8244,42,0.005,0,0,0.589,0,0,0.285,0.103,0.018
55,KAFFRINE,BIRKELANE,BIRKELANE,BIRKELANE,,6413,3561,0.555,0,0,0.225,0,0,0,0.106,0.114
56,SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,BOGHAL,252220,16578,0.066,0,0,0.007,0,0,0.703,0.219,0.005
57,SEDHIOU,BOUNKILING,BOGHAL,DJINANY,BOGHAL,91587,3557,0.039,0.011,0,0.004,0.001,0,0.808,0.092,0.043
58,SEDHIOU,BOUNKILING,BOGHAL,NDIAMACOUTA,BOGHAL,48487,4563,0.094,0,0,0.014,0,0,0.488,0.391,0.013
59,SEDHIOU,BOUNKILING,BOGHAL,NDIAMALATHIEL,BOGHAL,288641,26106,0.09,0.004,0,0.006,0.001,0,0.66,0.224,0.014
60,SEDHIOU,BOUNKILING,BOGHAL,TANKON,BOGHAL,561169,42135,0.075,0,0,0.003,0,0,0.647,0.269,0.005
61,SEDHIOU,BOUNKILING,BONA,BONA,BONA,238409,2575,0.011,0.002,0,0.004,0.051,0,0.841,0.045,0.046
62,SEDHIOU,BOUNKILING,BONA,DIACOUNDA,BONA,183717,7386,0.04,0.007,0,0.004,0.044,0,0.774,0.062,0.069
63,SEDHIOU,BOUNKILING,BONA,INOR,BONA,329788,2582,0.008,0.001,0,0.003,0.03,0,0.888,0.041,0.028
64,SEDHIOU,BOUNKILING,BONA,KANDION MANGANA,BONA,123059,1770,0.014,0,0,0.002,0,0,0.959,0.021,0.003
65,KOLDA,VELINGARA,BONCONTO,BONCONTO,BONCONTO,429329,3831,0.009,0.011,0,0.002,0.017,0,0.718,0.217,0.026
66,KOLDA,VELINGARA,BONCONTO,LINKERING,BONCONTO,1389230,2762,0.002,0.003,0,0.001,0,0,0.835,0.151,0.008
67,KOLDA,VELINGARA,BONCONTO,MEDINA GOUNASS,BONCONTO,753941,19288,0.026,0.003,0,0.008,0,0,0.594,0.312,0.057
68,KOLDA,VELINGARA,BONCONTO,SINTHIANG KOUNDARA,BONCONTO,786703,14821,0.019,0.008,0,0.003,0.002,0,0.387,0.529,0.052
69,SEDHIOU,BOUNKILING,BOUNKILING,BOUNKILING,,13099,202,0.015,0,0,0.097,0,0.001,0.773,0.103,0.01
70,TAMBACOUNDA,GOUDIRY,BOYNGUEL BAMBA,BOYNGUEL BAMBA,BOYNGUEL BAMBA,1705007,4834,0.003,0,0,0.001,0,0,0.008,0.959,0.029
71,TAMBACOUNDA,GOUDIRY,BOYNGUEL BAMBA,DOUGUE,BOYNGUEL BAMBA,1331036,3771,0.003,0,0,0.001,0,0,0.024,0.957,0.016
72,TAMBACOUNDA,GOUDIRY,BOYNGUEL BAMBA,KOUSSAN,BOYNGUEL BAMBA,849125,2505,0.003,0,0,0.001,0,0,0.006,0.959,0.031
73,TAMBACOUNDA,GOUDIRY,BOYNGUEL BAMBA,SINTHIOU MAMADOU BOUBOU,BOYNGUEL BAMBA,3404999,3748,0.001,0,0,0,0,0,0.001,0.956,0.041
74,ZIGUINCHOR,OUSSOUYE,CABROUSSE,SANTHIABA MANJACK,CABROUSSE,146529,20,0,0.15,0.005,0.003,0.151,0,0.389,0.014,0.289
75,ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,CABROUSSE,328422,1886,0.006,0.399,0.002,0.012,0.155,0,0.212,0.048,0.164
76,SAINT LOUIS,PODOR,CAS CAS,BODE LAO,CAS CAS,29661,9,0,0.071,0.001,0.004,0,0.001,0,0.028,0.89
77,SAINT LOUIS,PODOR,CAS CAS,AERE LAO,CAS CAS,24736,18,0.001,0,0,0.041,0,0,0,0.011,0.943
78,SAINT LOUIS,PODOR,CAS CAS,DOUMGA LAO,CAS CAS,2110722,622,0,0.032,0.001,0.001,0,0,0.001,0.017,0.944
79,SAINT LOUIS,PODOR,CAS CAS,MADINA NDIATHBE,CAS CAS,1141625,425,0,0.028,0.002,0.002,0,0,0,0.009,0.954
80,SAINT LOUIS,PODOR,CAS CAS,MERY,CAS CAS,430913,168,0,0.022,0.002,0.003,0,0,0,0.006,0.96
81,SAINT LOUIS,PODOR,CAS CAS,GOLLERE,CAS CAS,3352,0,0,0,0.001,0.156,0,0,0,0.013,0.771
82,SAINT LOUIS,PODOR,CAS CAS,MBOUMBA,CAS CAS,4555,0,0,0.002,0,0.128,0,0,0,0.005,0.862
83,SAINT LOUIS,PODOR,CAS CAS,WALALDE,CAS CAS,7454,3,0,0.049,0.01,0.021,0,0,0,0.009,0.889
84,LOUGA,LOUGA,COKI,COKI,COKI,317667,245343,0.772,0,0,0.011,0,0,0,0.001,0.216
85,LOUGA,LOUGA,COKI,GUET ARDO,COKI,199021,142698,0.717,0,0,0.006,0,0,0,0.001,0.275
86,LOUGA,LOUGA,COKI,NDIAGNE,COKI,18399,9532,0.518,0,0,0.075,0,0,0,0.004,0.403
87,LOUGA,LOUGA,COKI,PETE OUARACK,COKI,111804,96088,0.859,0,0,0.005,0,0,0,0.004,0.132
88,LOUGA,LOUGA,COKI,THIAMENE,COKI,346242,263386,0.761,0,0,0.005,0,0,0,0,0.234
89,FATICK,GOSSAS,COLOBANE,COLOBANE,COLOBANE,450970,297882,0.661,0,0,0.003,0,0,0,0.005,0.331
90,FATICK,GOSSAS,COLOBANE,MBAR,COLOBANE,467941,316091,0.675,0,0,0.005,0,0,0,0.011,0.308
91,SAINT LOUIS,DAGANA,DAGANA,DAGANA,,13867,57,0.004,0.108,0.001,0.231,0.002,0.044,0.017,0.149,0.433
92,DAKAR,DAKAR,VILLE DE DAKAR,DAKAR PLATEAU,DAKAR PLATEAU,6259,0,0,0.011,0.005,0.768,0.003,0,0.006,0.002,0.207
93,DAKAR,DAKAR,VILLE DE DAKAR,FANN POINT E AMITIE,DAKAR PLATEAU,5449,0,0,0.002,0.003,0.89,0.004,0,0.006,0.002,0.092
94,DAKAR,DAKAR,GOREE,GOREE,,218,0,0,0.037,0,0.44,0.005,0,0,0.032,0.486
95,DAKAR,DAKAR,VILLE DE DAKAR,GUEULE TAPEE-FASS-COLOBANE,DAKAR PLATEAU,2218,0,0,0,0.001,0.973,0,0,0,0,0.026
96,DAKAR,DAKAR,VILLE DE DAKAR,MEDINA,DAKAR PLATEAU,2840,0,0,0,0,0.937,0,0,0,0.003,0.06
97,KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,DAKATELY,351630,17,0,0,0,0.001,0,0,0.555,0.444,0
98,KEDOUGOU,SALEMATA,DAKATELY,KEVOYE,DAKATELY,463711,8,0,0,0,0,0,0,0.608,0.35,0
99,KEDOUGOU,SALEMATA,DAR SALAM,OUBADJI,DAR SALAM,565295,54,0,0.003,0,0,0.001,0,0.768,0.226,0
100,KEDOUGOU,SALEMATA,DAR SALAM,DAR SALAM,DAR SALAM,541734,8,0,0.005,0,0,0.002,0,0.683,0.31,0
101,KEDOUGOU,SALEMATA,DAR SALAM,ETHIOLO,DAR SALAM,320216,13,0,0,0,0,0,0,0.692,0.307,0
102,KAFFRINE,MALEM HODDAR,DAROU MINAM 2,DAROU MINAM,DAROU MINAM 2,1121179,290802,0.259,0,0,0.001,0,0,0.001,0.365,0.374
103,KAFFRINE,MALEM HODDAR,DAROU MINAM 2,KHELCOM,DAROU MINAM 2,505016,213141,0.422,0,0,0,0,0,0,0.077,0.5
104,KAFFRINE,MALEM HODDAR,DAROU MINAM 2,NDIOBENE SAMBA LAMO,DAROU MINAM 2,269716,49559,0.184,0,0,0.001,0,0,0,0.647,0.168
105,KAFFRINE,MALEM HODDAR,DAROU MINAM 2,NDIOUM NGAINTH,DAROU MINAM 2,481323,120731,0.251,0,0,0.002,0,0,0,0.525,0.223
106,LOUGA,KEBEMER,DAROU MOUHTY,DAROU MARNANE,DAROU MOUHTY,204798,194891,0.952,0,0,0.008,0,0,0,0.001,0.039
107,LOUGA,KEBEMER,DAROU MOUHTY,DAROU MOUHTY,DAROU MOUHTY,487926,461873,0.947,0,0,0.012,0,0,0,0.002,0.038
108,LOUGA,KEBEMER,DAROU MOUHTY,MBACKE CAJOR,DAROU MOUHTY,105650,94582,0.895,0,0,0.007,0,0,0,0,0.096
109,LOUGA,KEBEMER,DAROU MOUHTY,MBADIANE,DAROU MOUHTY,245606,234695,0.956,0,0,0.003,0,0,0,0.001,0.039
110,LOUGA,KEBEMER,DAROU MOUHTY,NDOYENE,DAROU MOUHTY,157279,128550,0.817,0,0,0.004,0,0,0,0.003,0.175
111,LOUGA,KEBEMER,DAROU MOUHTY,SAM YABAL,DAROU MOUHTY,377262,330410,0.876,0,0,0.002,0,0,0,0.003,0.119
112,LOUGA,KEBEMER,DAROU MOUHTY,TOUBA MERINA,DAROU MOUHTY,275539,235759,0.856,0,0,0.003,0,0,0,0.001,0.141
113,DAKAR,RUFISQUE,DIAMNIADIO,DIAMNIADIO,DIAMNIADIO,80575,12240,0.152,0,0.009,0.116,0,0,0.076,0.35,0.284
114,DAKAR,RUFISQUE,DIAMNIADIO,SEBIKOTANE,DIAMNIADIO,24282,2035,0.084,0,0.001,0.168,0,0,0.08,0.359,0.304
115,TAMBACOUNDA,GOUDIRY,DIANKE MAKHA,BANI ISRAEL,DIANKE MAKHA,900746,3291,0.004,0,0,0.001,0,0,0.061,0.925,0.01
116,TAMBACOUNDA,GOUDIRY,DIANKE MAKHA,BOUTOUCOUFARA,DIANKE MAKHA,1077584,3681,0.003,0,0,0,0,0,0.311,0.682,0.003
117,TAMBACOUNDA,GOUDIRY,DIANKE MAKHA,DIANKE MAKHA,DIANKE MAKHA,1494207,5957,0.004,0,0,0,0,0,0.14,0.848,0.007
118,TAMBACOUNDA,GOUDIRY,DIANKE MAKHA,KOMOTI,DIANKE MAKHA,1008391,5720,0.006,0,0,0,0,0,0.196,0.788,0.01
119,SEDHIOU,BOUNKILING,DIAROUME,DIAMBATI,DIAROUME,560808,7926,0.014,0,0,0.001,0.001,0,0.934,0.041,0.009
120,SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,DIAROUME,391342,5844,0.015,0.002,0,0.005,0.046,0,0.833,0.06,0.039
121,SEDHIOU,BOUNKILING,DIAROUME,FAOUNE,DIAROUME,253763,14837,0.058,0,0,0.005,0,0,0.791,0.141,0.005
122,SEDHIOU,BOUNKILING,DIAROUME,MADINA WANDIFA,DIAROUME,17225,1026,0.06,0,0,0.123,0,0,0.525,0.284,0.009
123,SEDHIOU,SEDHIOU,DIENDE,DIANNAH MALARY,DIENDE,14092,131,0.009,0.021,0.001,0.037,0.055,0,0.632,0.105,0.139
124,SEDHIOU,SEDHIOU,DIENDE,DIANNAH BA,DIENDE,153281,1916,0.012,0.008,0,0.005,0.002,0,0.917,0.032,0.023
125,SEDHIOU,SEDHIOU,DIENDE,DIENDE,DIENDE,241832,1066,0.004,0.003,0,0.008,0.058,0,0.878,0.038,0.011
126,SEDHIOU,SEDHIOU,DIENDE,KOUSSY,DIENDE,386766,5450,0.014,0,0,0.003,0,0,0.909,0.07,0.004
127,SEDHIOU,SEDHIOU,DIENDE,OUDOUCAR,DIENDE,163668,1278,0.008,0.004,0,0.007,0.077,0,0.81,0.066,0.028
128,SEDHIOU,SEDHIOU,DIENDE,SAKAR,DIENDE,329296,2803,0.009,0.002,0,0.003,0.057,0,0.878,0.039,0.013
129,SEDHIOU,SEDHIOU,DIENDE,SAMA KANTA PEULH,DIENDE,308945,1618,0.005,0,0,0.001,0,0,0.982,0.012,0
130,FATICK,FATICK,DIOFFIOR,DIOFFIOR,,9307,5257,0.565,0,0,0.245,0,0.001,0.004,0.059,0.126
131,KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,DIOULACOLON,179027,1931,0.011,0.001,0,0.025,0,0,0.678,0.262,0.023
132,KOLDA,KOLDA,DIOULACOLON,GUIRO YERO BOCAR,DIOULACOLON,334372,3814,0.011,0,0,0.006,0,0,0.811,0.153,0.018
133,KOLDA,KOLDA,DIOULACOLON,MEDINA EL HADJ,DIOULACOLON,207909,1637,0.008,0,0,0.008,0,0,0.884,0.088,0.012
134,KOLDA,KOLDA,DIOULACOLON,SALIKEGNE,DIOULACOLON,13140,182,0.014,0,0,0.048,0,0,0.694,0.225,0.019
135,KOLDA,KOLDA,DIOULACOLON,TANKANTO ESCALE,DIOULACOLON,240890,4676,0.019,0.001,0,0.005,0,0,0.913,0.042,0.019
136,KOLDA,KOLDA,DIOULACOLON,SARE YOBA DIEGA,DIOULACOLON,12774,387,0.03,0.008,0,0.043,0,0,0.831,0.055,0.032
137,SEDHIOU,SEDHIOU,DJIBABOUYA,BEMET BIDJINI,DJIBABOUYA,190997,1700,0.009,0.006,0,0.007,0.134,0,0.654,0.067,0.122
138,SEDHIOU,SEDHIOU,DJIBABOUYA,DJIBABOUYA,DJIBABOUYA,108370,1105,0.01,0.004,0,0.006,0.056,0,0.751,0.038,0.135
139,SEDHIOU,SEDHIOU,DJIBABOUYA,SAN SAMBA,DJIBABOUYA,442618,2414,0.005,0.002,0,0.003,0.027,0,0.894,0.024,0.044
140,SEDHIOU,GOUDOMP,DJIBANAR,DIATTACOUNDA,DJIBANAR,11797,123,0.01,0.007,0,0.077,0.493,0,0.327,0.058,0.027
141,SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,DJIBANAR,187529,157,0.001,0.002,0,0.009,0.069,0,0.899,0.012,0.008
142,SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,DJIBANAR,78916,85,0.001,0.018,0,0.009,0.196,0,0.733,0.014,0.03
143,SEDHIOU,GOUDOMP,DJIBANAR,MANGAROUNGOU SANTO,DJIBANAR,135029,299,0.002,0.002,0,0.009,0.085,0,0.865,0.01,0.026
144,SEDHIOU,GOUDOMP,DJIBANAR,SAMINE,DJIBANAR,9302,54,0.006,0.046,0,0.109,0,0,0.787,0.036,0.016
145,SEDHIOU,GOUDOMP,DJIBANAR,SIMBANDI BALANTE,DJIBANAR,267973,531,0.002,0.006,0,0.01,0.101,0,0.803,0.025,0.052
146,SEDHIOU,GOUDOMP,DJIBANAR,YARANG BALANTE,DJIBANAR,139421,213,0.002,0.015,0,0.011,0.04,0,0.904,0.01,0.018
147,FATICK,FOUNDIOUGNE,DJILOR,DIAGANE BARKA,DJILOR,85238,59844,0.702,0,0,0.008,0,0,0.079,0.161,0.049
148,FATICK,FOUNDIOUGNE,DJILOR,DIOSSONG,DJILOR,197097,118591,0.602,0.083,0.002,0.011,0.023,0,0.081,0.1,0.099
149,FATICK,FOUNDIOUGNE,DJILOR,DJILOR,DJILOR,415821,124146,0.299,0.132,0.018,0.004,0.066,0,0.072,0.151,0.257
150,FATICK,FOUNDIOUGNE,DJILOR,MBAM,DJILOR,156719,50312,0.321,0.074,0.035,0.01,0.142,0,0.019,0.099,0.298
151,FATICK,FOUNDIOUGNE,DJILOR,NIASSENE,DJILOR,106803,92853,0.869,0,0,0.013,0,0,0.03,0.057,0.031
152,FATICK,FOUNDIOUGNE,DJILOR,PASSY,DJILOR,9028,4536,0.502,0,0,0.242,0,0,0.04,0.163,0.052
153,FATICK,FOUNDIOUGNE,DJILOR,SOUM,DJILOR,2036,786,0.386,0,0,0.355,0,0,0.002,0.111,0.145
154,SEDHIOU,SEDHIOU,DJIREDJI,BAMBALY,DJIREDJI,362999,1065,0.003,0.003,0,0.005,0.171,0,0.722,0.019,0.076
155,SEDHIOU,SEDHIOU,DJIREDJI,DJIREDJI,DJIREDJI,399197,1507,0.004,0.002,0,0.006,0.183,0,0.718,0.03,0.057
156,LOUGA,LINGUERE,DODJI,DODJI,DODJI,1114389,13699,0.012,0,0,0.001,0,0,0.001,0.019,0.956
157,LOUGA,LINGUERE,DODJI,LABGAR,DODJI,1123975,663,0.001,0,0,0,0,0,0,0.007,0.991
158,LOUGA,LINGUERE,DODJI,OUARKHOKH,DODJI,886639,218006,0.246,0,0,0.002,0,0,0,0.016,0.733
159,KOLDA,MEDINA YORO FOULAH,FAFACOUROU,BADION,FAFACOUROU,453920,13509,0.03,0,0,0.003,0,0,0.52,0.391,0.056
160,KOLDA,MEDINA YORO FOULAH,FAFACOUROU,FAFACOUROU,FAFACOUROU,466681,5597,0.012,0,0,0.001,0,0,0.771,0.186,0.029
161,FATICK,FATICK,FATICK,FATICK,,18200,5070,0.279,0.007,0.033,0.294,0.001,0,0,0.058,0.326
162,FATICK,FATICK,FIMELA,DJILASSE,FIMELA,293634,92385,0.315,0.028,0.089,0.003,0.162,0,0.012,0.043,0.344
163,FATICK,FATICK,FIMELA,FIMELA,FIMELA,363045,81927,0.226,0.097,0.051,0.014,0.17,0.001,0.018,0.082,0.338
164,FATICK,FATICK,FIMELA,LOUL SESSENE,FIMELA,329442,160951,0.489,0.024,0.094,0.004,0.028,0,0.007,0.03,0.321
165,FATICK,FATICK,FIMELA,PALMARIN FACAO,FIMELA,75144,3994,0.053,0.229,0.023,0.023,0.143,0,0.015,0.145,0.37
166,THIES,MBOUR,FISSEL,FISSEL,FISSEL,253428,228140,0.9,0,0,0.013,0,0,0.002,0.02,0.065
167,THIES,MBOUR,FISSEL,NDIAGANIAO,FISSEL,309316,267913,0.866,0,0,0.015,0,0,0.001,0.017,0.102
168,KEDOUGOU,KEDOUGOU,FONGOLIMBI,DIMBOLI,FONGOLIMBI,1334139,24,0,0.001,0,0,0,0,0.577,0.422,0
169,KEDOUGOU,KEDOUGOU,FONGOLIMBI,FONGOLIMBI,FONGOLIMBI,179087,6,0,0.002,0,0.004,0,0,0.611,0.382,0
170,FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,,5208,202,0.039,0.003,0.026,0.278,0.002,0,0,0.122,0.527
171,SAINT LOUIS,PODOR,GAMADJI SARE,DEMETTE,GAMADJI SARE,11801,8,0.001,0.09,0.006,0.029,0,0.001,0.001,0.031,0.833
172,SAINT LOUIS,PODOR,GAMADJI SARE,DODEL,GAMADJI SARE,1217768,188,0,0.075,0.002,0.002,0,0,0,0.009,0.905
173,SAINT LOUIS,PODOR,GAMADJI SARE,GAMADJI SARE,GAMADJI SARE,1670205,271,0,0.02,0.001,0.001,0,0,0.001,0.007,0.965
174,SAINT LOUIS,PODOR,GAMADJI SARE,GUEDE VILLAGE,GAMADJI SARE,1519039,992,0.001,0.032,0.001,0.002,0,0.002,0.001,0.03,0.927
175,SAINT LOUIS,PODOR,GAMADJI SARE,GUEDE CHANTIER,GAMADJI SARE,7947,95,0.012,0.042,0,0.052,0,0.003,0.007,0.349,0.533
176,SAINT LOUIS,PODOR,NDIOUM,NDIOUM,,13752,16,0.001,0.043,0.004,0.117,0,0.001,0.001,0.05,0.777
177,SAINT LOUIS,PODOR,PODOR,PODOR,,6890,38,0.006,0.097,0.006,0.204,0,0.002,0.003,0.051,0.569
178,KAFFRINE,KAFFRINE,GNIBY,BOULEL,GNIBY,738493,261476,0.354,0,0,0.003,0,0,0,0.189,0.454
179,KAFFRINE,KAFFRINE,GNIBY,GNIBY,GNIBY,401236,177853,0.443,0,0,0.004,0,0,0.001,0.038,0.514
180,KAFFRINE,KAFFRINE,GNIBY,KAHI,GNIBY,301102,140411,0.466,0,0,0.007,0,0,0.001,0.185,0.341
181,TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,,24434,40,0.002,0,0.001,0.047,0,0,0.001,0.761,0.189
182,SEDHIOU,GOUDOMP,GOUDOMP,GOUDOMP,,8686,37,0.004,0.004,0,0.216,0.381,0,0.265,0.083,0.046
183,DAKAR,DAKAR,VILLE DE DAKAR,BISCUITERIE,GRAND DAKAR,1426,0,0,0,0,0.995,0,0,0,0,0.005
184,DAKAR,DAKAR,VILLE DE DAKAR,DIEUPPEUL DERKLE,GRAND DAKAR,1726,0,0,0,0,0.997,0,0,0,0,0.003
