fid,COMMUNE,REGION,LZCODE,LZNAME,DEM,aug_22,nov_dec_24,oct_24,recur,AEZclass,AEZclassname,popsum2021,popmean2021,popsum2022,popmean2022,popsum2023,popmean2023,popsum2024,popmean2024,Rainfed_percentage_scaled,Wetland_percentage_scaled,Bare_percentage_scaled,Impervious_percentage_scaled,Water_percentage_scaled,Irrigated_percentage_scaled,Shrubland_percentage_scaled,Forest_percentage_scaled,Grassland_percentage_scaled,Dry_LST_2021_scaled,Dry_LST_2022_scaled,Dry_LST_2023_scaled,Dry_LST_2024_scaled,Wet_LST_2021_scaled,Wet_LST_2022_scaled,Wet_LST_2023_scaled,Wet_LST_2024_scaled,Dry_NDVI_2021_scaled,Dry_NDVI_2022_scaled,Dry_NDVI_2023_scaled,Dry_NDVI_2024_scaled,Wet_NDVI_2021_scaled,Wet_NDVI_2022_scaled,Wet_NDVI_2023_scaled,Wet_NDVI_2024_scaled,Dry_VHI_M_2021_scaled,Dry_VHI_M_2022_scaled,Dry_VHI_M_2023_scaled,Dry_VHI_M_2024_scaled,Wet_VHI_M_2021_scaled,Wet_VHI_M_2022_scaled,Wet_VHI_M_2023_scaled,Wet_VHI_M_2024_scaled,Dry_precip_log_2021_scaled,Dry_precip_log_2022_scaled,Dry_precip_log_2023_scaled,Dry_precip_log_2024_scaled,Wet_precip_log_2021_scaled,Wet_precip_log_2022_scaled,Wet_precip_log_2023_scaled,Wet_precip_log_2024_scaled
21,NGUIDJILONE,MATAM,3,Valley Rice and Remittances,17,0.004502942,0.005866119,0.031459333,3,52,Dominantly hydromorphic soils,10621.82463,10.86076138,10704.77492,10.67275665,11419.25635,11.20633597,11540.56422,11.28109895,0,0.23308958,0.094482237,0.017709809,0,0,0.016825103,0,0.942572317,0.89629537,0.68602505,0.774094703,0.87410579,0.934494281,0.626217722,0.619995131,0.649623069,0.150784053,0.121374948,0.138780563,0.10815204,0.075848805,0.13961806,0.097844379,0.009440822,0.034482729,0.499696741,0.212318511,0.269377316,0.514705957,0.638687942,0.715841562,0.73516653,0.498628685,0.426475435,0.32033178,0.110670884,0.703745726,0.757190115,0.761080746,0.762385409
22,OREFONDE,MATAM,4,Dieri Millet and Remittances,69,0.004408419,8.82E-05,0.018526899,3,53,Desert/Arid climate,23491.92128,6.444971544,23658.79378,6.458857162,25803.15768,7.027003724,26752.1934,7.240106469,0,0.050274223,0.132275132,0.002083507,0,0,0.014721965,0.003286447,0.947897584,0.903067933,0.737172301,0.816633933,0.756604209,0.827503567,0.754009483,0.698103734,0.833674979,0.126515263,0.129477285,0.149828752,0.116826516,0.158049841,0.242423897,0.166141192,0.224455661,0.258620655,0.636143118,0.450175307,0.428208359,0.470588174,0.638687942,0.455940671,0.771345945,0.759099635,0.560418018,0.395145151,0,0.709426414,0.755580879,0.800351121,0.785206081
23,THILOGNE,MATAM,4,Dieri Millet and Remittances,15,0.007185589,0,0.193872784,2,53,Desert/Arid climate,13344.92538,15.374338,14029.3983,16.16290126,15129.22703,17.42998506,14423.09472,16.61646857,0,0.173674589,0.056689342,0.036461372,0,0,0.054681585,0.001095482,0.924466408,0.996466462,0.727376665,0.946780956,0.768408654,0.888811074,0.826151143,0.724292643,0.627752368,0.212597359,0.166783274,0.186853254,0.152192611,0.158092095,0.259055284,0.160500341,0.056948747,0.22413793,0.560339676,0.425137772,0.428208359,0.823529392,0.518089744,0.542574253,0.73516653,0,0.353693558,0.207964123,0,0.711175979,0.713260375,0.742077623,0.749442653
24,MERMOZ-SACRE COEUR,DAKAR,0,Urban Area - Dakar,35,0,0,0,0,56,Dominantly built-up land,70828.28929,133.3866088,68673.84601,129.3292769,65763.52763,123.8484513,67904.93353,127.8812307,0,0.004570384,0.037792895,0.990707559,0,0,0.001051569,0.001095482,0.044732246,0.041549904,0.13586878,0.10561312,0.079948932,0.361931426,0.322146549,0.34130962,0.388888896,0.048965717,0.040435485,0.068659707,0.029894194,0.081681468,0.017267063,0.065797065,0.06663018,0,0.044875729,0.037055548,0.110546368,0,0,0,0,0,0,0,0,0,0,0,0
25,NGOR,DAKAR,0,Urban Area - Dakar,8,0,0,0,0,56,Dominantly built-up land,53480.49902,102.6497102,52931.18279,101.5953604,50916.03413,97.72751272,52486.52169,100.7418842,0,0.045703839,0.056689342,0.82923577,0.043763676,0,0.010515689,0.003286447,0.182124143,0,0,0,0,0.110166199,0,0.081608731,0.342771691,0.110234751,0.134021538,0.082970759,0.111016763,0.105798055,0.078242809,0.044050781,0.08544504,0.034482729,0.075197105,0.149724601,0.015247761,0,0,0,0,0,0,0,0,0,0,0,0
26,OUAKAM,DAKAR,0,Urban Area - Dakar,32,0,0,0,0,56,Dominantly built-up land,106569.5954,122.4937878,104841.2015,120.5071282,102019.7935,117.2641305,105740.6972,121.2622675,0,0,0.018896447,0.855279607,0.00547046,0,0.016825103,0.003286447,0.166148341,0.038343893,0.115192972,0.039106024,0.019958666,0.32944559,0.250145893,0.272594988,0.413721237,0.066789436,0.054863886,0.00738617,0.060051772,0.161904339,0.091460095,0.101498642,0.093117119,0.103448282,0.044875729,0.074611925,0.158195625,0,0,0,0,0.124684592,0,0.181443331,0.335747481,0.615543962,0.863919486,0.699951385,0.73792882
27,YOFF,DAKAR,0,Urban Area - Dakar,25,0,0,0,0,56,Dominantly built-up land,140274.4966,87.34402032,141910.1909,88.36250987,138483.9682,86.2291209,144587.3314,90.0294716,0,0.013711152,0.207860922,0.713601133,0.00547046,0.112107623,0.068351981,0.003286447,0.24283219,0.042351407,0.10170875,0.083444088,0.039003195,0.345688508,0.141677372,0.209943411,0.504773154,0.058991559,0.054603156,0.029058498,0.055404971,0.265290735,0.212882897,0.132919455,0.185182067,0,0,0.087130692,0.062897015,0,0,0,0,0,0,0,0,0,0,0,0
28,OUAOUNDE,MATAM,3,Valley Rice and Remittances,21,0.010557005,0.007843321,0.02291026,3,52,Dominantly hydromorphic soils,11439.84373,23.06420107,11159.75569,22.23058903,11687.21779,23.28131033,11528.44716,22.96503417,0,0.297074954,0.056689342,0.084382032,0.00547046,0.112107623,0.044165896,0.001095482,0.854172879,0.882326322,0.765132487,0.747662396,0.759838616,0.90403881,0.521317196,0.58585287,0.879623256,0.199204815,0.171204563,0.191253094,0.171200227,0.142835086,0.345466963,0.19693829,0.18580314,0.327586212,0.68162518,0.650475727,0.52350687,0.691176568,0.940183365,0.728217787,0.795465557,0,0,0,0,0,0,0,0
29,BABA GARAGE,DIOURBEL,8,Rainfed Groundnut and Millet,26,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,24345.74043,3.936255526,24805.62868,3.998972865,24797.1806,3.988608751,25702.34139,4.097296571,0.93992903,0,0,0.013542795,0,0,0.004206276,0,0.096919865,0.84251835,0.836149391,0.936099169,0.808402165,0.899972779,0.89208911,0.704774665,0.782658877,0.268515515,0.250200867,0.267304145,0.225259991,0.327455871,0.438292324,0.459954307,0.620886652,0.155172373,0.257125547,0.287431187,0.30114358,0.647058782,0.686927164,0.554950478,0.771345945,0.186256649,0.479669593,0.030832309,0.71455437,0.62754917,0.834444153,0.884329161,0.809543894
30,DINGUIRAYE,DIOURBEL,8,Rainfed Groundnut and Millet,29,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,18768.21435,3.704740298,18648.62044,3.660180656,19902.42713,3.897850985,20861.14553,4.05070787,1,0,0,0.009375781,0,0,0.013670396,0.001095482,0.025561283,0.869502277,0.846037821,0.925867308,0.777930918,0.824854585,1,0.800080841,0.922652118,0.297701404,0.268569215,0.285098953,0.242620888,0.354624556,0.457155136,0.403720627,0.61281245,0.206896568,0.226804169,0.299949956,0.253494231,0.676470522,0.566328965,0.394059394,0.650747747,0.017160223,0.386072144,0.05556393,0.36270168,0.618063631,0.8175735,0.872077824,0.794542217
