fid,AEZclass,AEZclassname
279,2,Tropics lowland; semi-arid with soil/terrain limitations
280,2,Tropics lowland; semi-arid with soil/terrain limitations
281,51,Ample irrigated soils
282,53,Desert/Arid climate
283,53,Desert/Arid climate
284,51,Ample irrigated soils
285,53,Desert/Arid climate
286,53,Desert/Arid climate
287,53,Desert/Arid climate
288,53,Desert/Arid climate
289,56,Dominantly built-up land
290,2,Tropics lowland; semi-arid with soil/terrain limitations
291,2,Tropics lowland; semi-arid with soil/terrain limitations
292,2,Tropics lowland; semi-arid with soil/terrain limitations
293,53,Desert/Arid climate
294,53,Desert/Arid climate
295,2,Tropics lowland; semi-arid with soil/terrain limitations
296,2,Tropics lowland; semi-arid with soil/terrain limitations
297,2,Tropics lowland; semi-arid with soil/terrain limitations
298,2,Tropics lowland; semi-arid with soil/terrain limitations
299,2,Tropics lowland; semi-arid with soil/terrain limitations
300,2,Tropics lowland; semi-arid with soil/terrain limitations
301,50,Land with severe soil/terrain limitations
302,50,Land with severe soil/terrain limitations
303,2,Tropics lowland; semi-arid with soil/terrain limitations
304,2,Tropics lowland; semi-arid with soil/terrain limitations
305,2,Tropics lowland; semi-arid with soil/terrain limitations
306,2,Tropics lowland; semi-arid with soil/terrain limitations
307,2,Tropics lowland; semi-arid with soil/terrain limitations
308,52,Dominantly hydromorphic soils
309,2,Tropics lowland; semi-arid with soil/terrain limitations
310,1,Tropics lowland; semi-arid no soil/terrain limitations
311,2,Tropics lowland; semi-arid with soil/terrain limitations
312,2,Tropics lowland; semi-arid with soil/terrain limitations
313,2,Tropics lowland; semi-arid with soil/terrain limitations
314,2,Tropics lowland; semi-arid with soil/terrain limitations
315,2,Tropics lowland; semi-arid with soil/terrain limitations
316,53,Desert/Arid climate
317,53,Desert/Arid climate
318,53,Desert/Arid climate
319,2,Tropics lowland; semi-arid with soil/terrain limitations
320,2,Tropics lowland; semi-arid with soil/terrain limitations
321,53,Desert/Arid climate
322,53,Desert/Arid climate
323,51,Ample irrigated soils
324,53,Desert/Arid climate
325,53,Desert/Arid climate
326,51,Ample irrigated soils
327,2,Tropics lowland; semi-arid with soil/terrain limitations
328,2,Tropics lowland; semi-arid with soil/terrain limitations
329,2,Tropics lowland; semi-arid with soil/terrain limitations
330,2,Tropics lowland; semi-arid with soil/terrain limitations
331,2,Tropics lowland; semi-arid with soil/terrain limitations
332,2,Tropics lowland; semi-arid with soil/terrain limitations
333,2,Tropics lowland; semi-arid with soil/terrain limitations
334,2,Tropics lowland; semi-arid with soil/terrain limitations
335,2,Tropics lowland; semi-arid with soil/terrain limitations
336,2,Tropics lowland; semi-arid with soil/terrain limitations
337,2,Tropics lowland; semi-arid with soil/terrain limitations
338,2,Tropics lowland; semi-arid with soil/terrain limitations
339,2,Tropics lowland; semi-arid with soil/terrain limitations
340,2,Tropics lowland; semi-arid with soil/terrain limitations
341,2,Tropics lowland; semi-arid with soil/terrain limitations
342,2,Tropics lowland; semi-arid with soil/terrain limitations
343,2,Tropics lowland; semi-arid with soil/terrain limitations
344,2,Tropics lowland; semi-arid with soil/terrain limitations
345,2,Tropics lowland; semi-arid with soil/terrain limitations
346,2,Tropics lowland; semi-arid with soil/terrain limitations
347,2,Tropics lowland; semi-arid with soil/terrain limitations
348,2,Tropics lowland; semi-arid with soil/terrain limitations
349,2,Tropics lowland; semi-arid with soil/terrain limitations
350,2,Tropics lowland; semi-arid with soil/terrain limitations
351,2,Tropics lowland; semi-arid with soil/terrain limitations
352,2,Tropics lowland; semi-arid with soil/terrain limitations
353,2,Tropics lowland; semi-arid with soil/terrain limitations
354,2,Tropics lowland; semi-arid with soil/terrain limitations
355,2,Tropics lowland; semi-arid with soil/terrain limitations
356,2,Tropics lowland; semi-arid with soil/terrain limitations
357,2,Tropics lowland; semi-arid with soil/terrain limitations
358,2,Tropics lowland; semi-arid with soil/terrain limitations
359,2,Tropics lowland; semi-arid with soil/terrain limitations
360,2,Tropics lowland; semi-arid with soil/terrain limitations
361,2,Tropics lowland; semi-arid with soil/terrain limitations
362,2,Tropics lowland; semi-arid with soil/terrain limitations
363,2,Tropics lowland; semi-arid with soil/terrain limitations
364,2,Tropics lowland; semi-arid with soil/terrain limitations
365,2,Tropics lowland; semi-arid with soil/terrain limitations
366,2,Tropics lowland; semi-arid with soil/terrain limitations
367,2,Tropics lowland; semi-arid with soil/terrain limitations
368,2,Tropics lowland; semi-arid with soil/terrain limitations
369,2,Tropics lowland; semi-arid with soil/terrain limitations
370,2,Tropics lowland; semi-arid with soil/terrain limitations
371,2,Tropics lowland; semi-arid with soil/terrain limitations
372,2,Tropics lowland; semi-arid with soil/terrain limitations
373,2,Tropics lowland; semi-arid with soil/terrain limitations
374,2,Tropics lowland; semi-arid with soil/terrain limitations
375,2,Tropics lowland; semi-arid with soil/terrain limitations
376,2,Tropics lowland; semi-arid with soil/terrain limitations
377,50,Land with severe soil/terrain limitations
378,2,Tropics lowland; semi-arid with soil/terrain limitations
379,50,Land with severe soil/terrain limitations
380,50,Land with severe soil/terrain limitations
381,50,Land with severe soil/terrain limitations
382,2,Tropics lowland; semi-arid with soil/terrain limitations
383,50,Land with severe soil/terrain limitations
384,2,Tropics lowland; semi-arid with soil/terrain limitations
385,2,Tropics lowland; semi-arid with soil/terrain limitations
386,50,Land with severe soil/terrain limitations
387,2,Tropics lowland; semi-arid with soil/terrain limitations
388,53,Desert/Arid climate
389,53,Desert/Arid climate
390,53,Desert/Arid climate
391,2,Tropics lowland; semi-arid with soil/terrain limitations
392,2,Tropics lowland; semi-arid with soil/terrain limitations
393,2,Tropics lowland; semi-arid with soil/terrain limitations
394,53,Desert/Arid climate
395,53,Desert/Arid climate
396,50,Land with severe soil/terrain limitations
397,2,Tropics lowland; semi-arid with soil/terrain limitations
398,2,Tropics lowland; semi-arid with soil/terrain limitations
399,2,Tropics lowland; semi-arid with soil/terrain limitations
400,53,Desert/Arid climate
401,53,Desert/Arid climate
402,2,Tropics lowland; semi-arid with soil/terrain limitations
403,50,Land with severe soil/terrain limitations
404,50,Land with severe soil/terrain limitations
405,50,Land with severe soil/terrain limitations
406,2,Tropics lowland; semi-arid with soil/terrain limitations
407,2,Tropics lowland; semi-arid with soil/terrain limitations
408,2,Tropics lowland; semi-arid with soil/terrain limitations
409,2,Tropics lowland; semi-arid with soil/terrain limitations
410,2,Tropics lowland; semi-arid with soil/terrain limitations
411,2,Tropics lowland; semi-arid with soil/terrain limitations
412,2,Tropics lowland; semi-arid with soil/terrain limitations
413,2,Tropics lowland; semi-arid with soil/terrain limitations
414,2,Tropics lowland; semi-arid with soil/terrain limitations
415,2,Tropics lowland; semi-arid with soil/terrain limitations
416,2,Tropics lowland; semi-arid with soil/terrain limitations
417,53,Desert/Arid climate
418,56,Dominantly built-up land
419,56,Dominantly built-up land
420,56,Dominantly built-up land
421,56,Dominantly built-up land
422,56,Dominantly built-up land
423,56,Dominantly built-up land
424,56,Dominantly built-up land
425,56,Dominantly built-up land
426,56,Dominantly built-up land
427,56,Dominantly built-up land
428,53,Desert/Arid climate
429,53,Desert/Arid climate
430,53,Desert/Arid climate
431,53,Desert/Arid climate
432,51,Ample irrigated soils
433,56,Dominantly built-up land
434,56,Dominantly built-up land
435,56,Dominantly built-up land
436,2,Tropics lowland; semi-arid with soil/terrain limitations
437,2,Tropics lowland; semi-arid with soil/terrain limitations
438,50,Land with severe soil/terrain limitations
439,53,Desert/Arid climate
440,2,Tropics lowland; semi-arid with soil/terrain limitations
441,53,Desert/Arid climate
442,2,Tropics lowland; semi-arid with soil/terrain limitations
443,53,Desert/Arid climate
444,53,Desert/Arid climate
445,2,Tropics lowland; semi-arid with soil/terrain limitations
446,2,Tropics lowland; semi-arid with soil/terrain limitations
447,53,Desert/Arid climate
448,2,Tropics lowland; semi-arid with soil/terrain limitations
449,2,Tropics lowland; semi-arid with soil/terrain limitations
450,2,Tropics lowland; semi-arid with soil/terrain limitations
451,2,Tropics lowland; semi-arid with soil/terrain limitations
452,53,Desert/Arid climate
453,53,Desert/Arid climate
454,53,Desert/Arid climate
455,53,Desert/Arid climate
