fid,region,departemen,com_arrt_v,commune,arrondisse,shape_leng,shape_area,superficie,censusname,geo1_sn2013,geo2_sn2013,geo3_sn2013,cell,chsurv,yrschool,migrated,emp_cat1,emp_cat2,emp_cat3,empd_cat1,empd_cat2,empd_cat3,empd_cat4,empd_cat5,empd_cat6,empd_cat7,empd_cat8,z_chsurv,z_yrschool,z_migrated,z_emp_cat1,kmg3,kmg4,kmg5,kmg6,kmg7,_merge
30,DIOURBEL,BAMBEY,BABA GARAGE,DINGUIRAYE,BABA GARAGE,.46988785,.0096935667,115.36938,baba garage,diourbel,bambey,baba garage,.88426393,4.0837321,1.1301517,.2458704,.31509557,.065589979,.61931443,.23143123,.24217263,.0032931424,.047117267,.15984407,.21000116,.00050663727,.017478986,.82009166,-.70667666,-.36611658,.61402738,2,2,4,1,1,Matched (3)
31,DIOURBEL,BAMBEY,BABA GARAGE,KEUR SAMBA KANE,BABA GARAGE,.49856567,.013212214,157.29181,baba garage,diourbel,bambey,baba garage,.88426393,4.0837321,1.1301517,.2458704,.31509557,.065589979,.61931443,.23143123,.24217263,.0032931424,.047117267,.15984407,.21000116,.00050663727,.017478986,.82009166,-.70667666,-.36611658,.61402738,2,2,4,1,1,Matched (3)
234,TAMBACOUNDA,GOUDIRY,KOULOR,KOULOR,KOULOR,1.8515075,.10403764,1243.2252,"bala, kothiary, koulor",tambacounda,goudiry,"bala, kothiary, koulor",.68213499,3.700742,.81258869,.30671346,.25528127,.20973189,.53498685,.28937513,.18140922,.0010780465,.14796266,.13224293,.097079217,.00080853491,.0091250036,-.53093535,-.93270481,.94891363,-.26862639,2,2,1,1,3,Matched (3)
32,TAMBACOUNDA,GOUDIRY,BALA,BALA,BALA,1.364888,.09719374,1161.9602,"bala, kothiary, koulor",tambacounda,goudiry,"bala, kothiary, koulor",.68213499,3.700742,.81258869,.30671346,.25528127,.20973189,.53498685,.28937513,.18140922,.0010780465,.14796266,.13224293,.097079217,.00080853491,.0091250036,-.53093535,-.93270481,.94891363,-.26862639,2,2,1,1,3,Matched (3)
33,TAMBACOUNDA,GOUDIRY,BALA,GOUMBAYEL,BALA,1.4857283,.087240659,1044.4285,"bala, kothiary, koulor",tambacounda,goudiry,"bala, kothiary, koulor",.68213499,3.700742,.81258869,.30671346,.25528127,.20973189,.53498685,.28937513,.18140922,.0010780465,.14796266,.13224293,.097079217,.00080853491,.0091250036,-.53093535,-.93270481,.94891363,-.26862639,2,2,1,1,3,Matched (3)
34,TAMBACOUNDA,GOUDIRY,BALA,KOAR,BALA,1.7226285,.049772229,595.42438,"bala, kothiary, koulor",tambacounda,goudiry,"bala, kothiary, koulor",.68213499,3.700742,.81258869,.30671346,.25528127,.20973189,.53498685,.28937513,.18140922,.0010780465,.14796266,.13224293,.097079217,.00080853491,.0091250036,-.53093535,-.93270481,.94891363,-.26862639,2,2,1,1,3,Matched (3)
233,TAMBACOUNDA,GOUDIRY,KOULOR,KOTHIARY,KOULOR,.16337155,.00093182782,11.142839,"bala, kothiary, koulor",tambacounda,goudiry,"bala, kothiary, koulor",.68213499,3.700742,.81258869,.30671346,.25528127,.20973189,.53498685,.28937513,.18140922,.0010780465,.14796266,.13224293,.097079217,.00080853491,.0091250036,-.53093535,-.93270481,.94891363,-.26862639,2,2,1,1,3,Matched (3)
235,TAMBACOUNDA,GOUDIRY,KOULOR,SINTHIOU BOCAR ALY,KOULOR,1.7697122,.12733649,1519.7382,"bala, kothiary, koulor",tambacounda,goudiry,"bala, kothiary, koulor",.68213499,3.700742,.81258869,.30671346,.25528127,.20973189,.53498685,.28937513,.18140922,.0010780465,.14796266,.13224293,.097079217,.00080853491,.0091250036,-.53093535,-.93270481,.94891363,-.26862639,2,2,1,1,3,Matched (3)
37,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,BAMBA THIALENE,BAMBA THIALENE,.67467314,.025594825,306.16937,"bamba thialene, koumpentoum",tambacounda,koupentoum,"bamba thialene, koumpentoum",.72819644,4.0188589,1.2574079,.26007402,.29911324,.16974142,.53114533,.2660009,.21954885,.0055528986,.11903714,.11581637,.17073606,.0092710918,.013942981,.59124643,-.61610103,-.059126899,.37818307,2,2,4,1,1,Matched (3)
36,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,NDAME,BAMBA THIALENE,1.0805836,.035179183,420.50131,"bamba thialene, koumpentoum",tambacounda,koupentoum,"bamba thialene, koumpentoum",.72819644,4.0188589,1.2574079,.26007402,.29911324,.16974142,.53114533,.2660009,.21954885,.0055528986,.11903714,.11581637,.17073606,.0092710918,.013942981,.59124643,-.61610103,-.059126899,.37818307,2,2,4,1,1,Matched (3)
35,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,KAHENE,BAMBA THIALENE,.76708919,.028091472,336.17075,"bamba thialene, koumpentoum",tambacounda,koupentoum,"bamba thialene, koumpentoum",.72819644,4.0188589,1.2574079,.26007402,.29911324,.16974142,.53114533,.2660009,.21954885,.0055528986,.11903714,.11581637,.17073606,.0092710918,.013942981,.59124643,-.61610103,-.059126899,.37818307,2,2,4,1,1,Matched (3)
241,TAMBACOUNDA,KOUMPENTOUM,KOUMPENTOUM,KOUMPENTOUM,,.16980897,.0015466198,18.488411,"bamba thialene, koumpentoum",tambacounda,koupentoum,"bamba thialene, koumpentoum",.72819644,4.0188589,1.2574079,.26007402,.29911324,.16974142,.53114533,.2660009,.21954885,.0055528986,.11903714,.11581637,.17073606,.0092710918,.013942981,.59124643,-.61610103,-.059126899,.37818307,2,2,4,1,1,Matched (3)
38,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,MERETO,BAMBA THIALENE,.77752334,.031078847,371.72018,"bamba thialene, koumpentoum",tambacounda,koupentoum,"bamba thialene, koumpentoum",.72819644,4.0188589,1.2574079,.26007402,.29911324,.16974142,.53114533,.2660009,.21954885,.0055528986,.11903714,.11581637,.17073606,.0092710918,.013942981,.59124643,-.61610103,-.059126899,.37818307,2,2,4,1,1,Matched (3)
462,DAKAR,RUFISQUE,SANGALKAM,BAMBILOR,SANGALKAM,.44268176,.0064483453,76.799957,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",dakar,rufisque,"bambylor, bargny, sebikotane, diamniadio, jaxaay-parcelle-niakoul-rap, sangalkam, sendou",.89886594,3.8815997,3.6123245,.34197205,.31855172,.058917377,.62253088,.19338727,.25694788,.0054726056,.042050898,.12635145,.28690884,.0022907127,.024005128,.10705391,1.0600306,1.7109745,.66502821,3,3,5,3,2,Matched (3)
