fid,2021-01_prec,2021-02_prec,2021-03_prec,2021-04_prec,2021-05_prec,2021-06_prec,2021-07_prec,2021-08_prec,2021-09_prec,2021-10_prec,2021-11_prec,2021-12_prec,2022-01_prec,2022-02_prec,2022-03_prec,2022-04_prec,2022-05_prec,2022-06_prec,2022-07_prec,2022-08_prec,2022-09_prec,2022-10_prec,2022-11_prec,2022-12_prec,2023-01_prec,2023-02_prec,2023-03_prec,2023-04_prec,2023-05_prec,2023-06_prec,2023-07_prec,2023-08_prec,2023-09_prec,2023-10_prec,2023-11_prec,2023-12_prec,2024-01_prec,2024-02_prec,2024-03_prec,2024-04_prec,2024-05_prec,2024-06_prec,2024-07_prec,2024-08_prec,2024-09_prec,2024-10_prec,2024-11_prec,2024-12_prec
158,24.94238281,25.62426758,0.0,0.0,0.0,1279.250732,945.9458008,9024.543945,3334.619385,1008.201843,0.0,8.488402367,14.11481667,13.76560211,0.0,0.0,109.3579102,1020.953552,3088.576904,3938.963867,4375.455078,1224.845093,77.43502045,0.0,12.180933,13.30172348,0.589589477,0.451914907,59.8731041,305.4709473,4726.925781,4868.280273,3192.702393,960.722168,0.0,13.06755066,1.750697374,15.06765366,0.0,0.0,72.94985962,155.5846252,3232.53418,2408.756104,4539.902344,1952.275146,11.51275539,57.32736969
159,0.27774474,1.452359915,0.018706342,1.24925828,28.66849899,1075.80542,2787.743652,3926.091309,3146.389404,1465.847168,36.93808365,0.0,0.0,0.0,0.074565612,0.0,550.1884155,1981.933472,1914.006958,3302.656494,3286.596924,1962.659424,11.98680305,2.857687712,0.22289823,0.0,0.0,9.93356514,220.3420563,2096.300293,3169.388184,2592.349609,2913.378418,1237.605103,0.295171201,2.493006468,0.014960038,0.225542486,0.08813785,0.0,292.6800537,797.4612427,2992.124756,3097.191895,4508.0625,2646.549805,2.283540249,17.4007206
160,0.048749376,1.007106543,0.0,0.42094034,48.83864975,1674.355835,3899.656006,5443.216797,4046.536621,1982.050537,44.56246185,0.0,0.0,0.0,0.037996035,0.0,807.3712158,2709.62915,2678.589844,4341.037109,4455.448242,2768.455078,21.45830727,3.986195803,0.222015291,0.020584494,0.0,9.349938393,310.4378662,3183.814697,4688.111328,3374.91333,3899.696533,1735.3125,2.946620941,2.893363476,0.003276503,0.233630583,0.078309774,0.0,460.2421875,1429.671631,4225.438477,3821.509766,5738.199219,3642.774902,2.966586113,20.78179932
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,6.637264252,2.982820511,0.004111106,0.0,0.0,306.7359314,643.1265869,3524.32251,1171.785767,516.8146973,0.021020664,0.20982793,3.737629414,0.239044949,0.075280115,0.0,144.533432,636.2304077,1740.444702,2404.133301,2178.742432,576.0592651,12.019701,0.0,4.673281193,0.092804395,0.13382262,0.004120877,48.99625015,117.3704834,1444.45874,1999.950439,2024.752563,377.3653564,0.0,5.154336929,0.027204815,0.605915129,0.0,0.0,37.45646667,223.1040344,1582.708374,1531.909912,1974.887939,864.6068726,10.91152763,19.79959488
163,9.724586487,3.324547529,0.003293954,0.0,0.0,344.3546143,755.5778809,4476.25,1646.765869,619.4783325,0.324977279,0.888369679,2.711439371,0.285530835,0.161504477,0.0,157.8554077,749.5635986,2200.211182,3274.437012,2640.643066,713.2946777,14.1223774,0.0,5.897099495,0.017123293,0.220365033,0.0,61.32436371,147.4549103,1842.09375,2518.57959,2579.835449,471.7944336,0.0,5.547984123,0.06383495,0.802766204,0.0,0.0,44.03910065,270.67276,1923.869385,1984.691895,2524.294922,1027.058105,15.84446144,22.08221817
164,6.765272141,2.902622223,0.014269658,0.0,0.0,308.0866394,593.0793457,3314.835938,981.8800049,454.0375061,0.248741835,0.013120371,3.240371704,0.517224848,0.069044322,0.0,120.9624634,580.0684814,1559.512207,2147.769043,2043.860229,473.1489868,11.81746674,0.0,4.616172791,0.108779587,0.102053508,0.02878847,48.57538986,102.9165726,1332.970825,1898.446289,1998.096436,353.2428589,0.0,5.064625263,0.124878742,0.588877439,0.0,0.0,34.38998795,190.6289215,1466.723633,1401.421753,1883.130981,789.4642944,9.438596725,19.02351761
165,1.144815445,0.24272725,0.023293909,0.0,0.0,36.65489197,80.07485962,487.7411499,195.9103241,71.20465088,0.0,0.138886049,0.608988643,0.0,0.045343135,0.0,14.69509315,72.37612915,245.2222748,414.0914307,290.9487305,80.20265961,1.173333883,0.0,0.528897285,0.0,0.034330964,0.0,7.958646774,24.60030365,209.3955841,278.27948,292.0744019,51.16978073,0.0,0.55135566,0.0,0.090605907,0.0,0.0,5.417358398,32.95662689,213.5531464,242.1774139,289.8866577,108.5675049,2.578502655,2.195135593
166,6.201196671,5.124465942,0.076777458,0.0,0.0,251.609375,517.0321045,3324.696045,767.1171875,396.3927917,0.0,0.038887061,4.47304821,0.837926686,0.008759129,0.0,65.51928711,428.1254883,1513.019531,2143.349121,1979.299561,435.8347778,15.3970356,0.0,4.127584934,0.979612231,0.095670447,0.00687323,44.83753204,62.71256256,1189.339966,2067.8396,1835.630005,355.1883545,0.0,4.646270752,0.239823416,1.679369926,0.0,0.0,23.12252808,124.9131012,1082.660278,1478.790405,1709.067383,768.7758789,11.92398834,16.81512833
167,8.074054718,6.2146101,0.069247633,0.0,0.0,250.1129913,511.6463013,3652.637939,942.74646,478.2467957,0.0,0.422259748,5.054619789,1.538769841,0.003073106,0.0,66.9397583,477.874054,1572.410889,2424.78418,2278.325684,557.1394043,17.31786346,0.0,8.183300018,0.206030846,0.071773991,0.019821133,38.98023987,51.57643509,1272.800537,2217.797852,2263.749512,438.7174377,0.0,6.128517628,0.156718686,2.16809845,0.0,0.0,21.71039391,133.1512146,1152.262085,1672.761963,1924.898315,877.239563,6.493624687,24.4034996
168,0.044522211,0.805446029,1.520158887,0.238496155,1609.75708,4854.414551,7247.722656,18565.30469,9948.779297,6718.464844,184.4948425,2.670090437,0.0,0.032427564,0.696647525,13.6541481,1863.224976,8728.414063,7826.831055,9586.476563,8735.211914,3374.283936,39.5369606,0.0,0.0,0.0,3.825117588,43.83958435,2781.945313,7147.543457,12208.51172,8130.091797,12942.03711,6511.342285,14.7281723,0.619508862,0.00519358,2.478305817,16.80941963,0.382541001,1729.062256,6434.336914,8901.900391,13929.20703,13534.25977,7769.646484,0.521912694,7.978490829
169,0.00866404,0.112876639,0.243760183,1.351144314,318.6615295,741.2313232,1007.285522,2512.782715,1395.872803,980.1340332,38.75377655,0.379764497,0.0,0.0,0.0,2.759037018,263.9915771,1219.858276,1010.697937,1308.401123,1132.026978,463.4271851,3.946595669,0.0,0.0,0.088684708,0.966403484,4.375376225,402.8838196,929.9807129,1779.044556,1209.888184,1750.389404,1004.58667,4.141880512,0.231299311,0.0,0.695410132,1.990218163,0.546409786,255.1257324,970.8360596,1162.507568,1759.114014,1896.120117,1109.715332,0.0,1.613289714
170,1.010067463,0.531787455,0.0,0.0,0.0,39.91322708,77.15440369,386.6907654,132.0228729,62.96357346,0.0,0.0,0.520119488,0.012581877,0.0,0.0,20.77294731,77.09303284,191.7394867,263.3175354,231.4221649,82.837677,1.725109339,0.0,0.351959288,0.061907783,0.015557949,0.0,5.334152222,26.37806129,167.1230164,205.3821716,207.9747467,55.35738373,0.0,0.581679106,0.0,0.109814331,0.0,0.0,4.406340122,28.60283852,187.9053955,165.7387695,226.6121826,114.211853,0.0,2.040988445
171,0.299965054,0.0,0.0,0.0,0.0,4.551249504,10.2227993,201.2929688,76.13542175,0.728997111,0.0,0.126340851,0.208659872,0.0,0.0,0.0,1.637633204,29.00627518,39.9308815,88.72610474,82.87377167,12.58205891,0.342263699,0.0,0.244043767,0.204109907,0.020685382,0.004168819,4.876560688,2.406221151,116.4349365,77.59980774,47.03103638,20.74567604,0.0,0.105752215,0.041753151,0.0,0.0,0.0,0.347016513,4.46658659,67.11105347,70.19382477,76.43203735,20.60958481,0.0,0.24359706
172,15.28218174,6.478907585,0.0,0.009226033,0.0,530.1103516,836.7261963,9135.918945,3229.156006,360.2055054,0.0,8.01745224,5.115762234,0.463914752,0.0,0.0,52.09461975,815.3713379,2431.49707,3512.69873,3538.910889,595.878418,33.6939621,0.0,12.28880119,8.158418655,0.430170536,1.459016204,112.0144653,108.3547516,5759.047852,3365.509521,2071.543701,813.0793457,0.0,6.899600983,1.985640287,2.562624931,0.001062199,0.0,30.03019905,197.1699219,2901.101563,3156.726563,3355.968994,826.7680054,5.221295834,15.69132423
173,31.40130615,22.72527313,0.001153124,0.0,0.0,942.4004517,1273.812256,13973.41016,4133.597656,826.1621094,0.063480929,13.29307175,10.28851128,1.474805593,0.002305737,0.0,24.05124664,967.7051392,3726.869873,5276.662109,4852.350586,1063.993896,54.77186584,0.0,20.04463577,13.12840557,0.911813021,2.814688683,116.4182205,260.9750977,8606.595703,5140.065918,3064.040039,1302.453613,0.0,11.92743683,4.226340771,7.842828274,0.004161245,0.0,36.25183105,335.2182617,3829.328125,4369.028809,4688.680664,1251.611694,22.86387444,27.71063995
174,24.16453171,18.35787964,0.0,0.071602762,0.0,685.7833252,813.0662231,12458.47656,3542.642578,787.9978027,0.0,14.21506214,8.197071075,2.160676479,0.0,0.0,18.09586716,899.9527588,3061.11377,5026.896973,4912.49707,857.5692749,36.94763184,0.0,18.05512428,10.55532837,0.697886586,2.41546917,138.2265625,258.1845398,8157.879395,5175.209961,2793.154785,1407.592407,0.0,11.20875359,1.968533278,3.177584648,0.0,0.0,55.41000748,263.5269165,3533.537598,3775.361816,3997.590332,1054.001343,12.09305573,22.9991703
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,7.333560467,3.662584543,0.036286302,0.0,0.004738649,1375.75415,2007.890869,6815.213379,2743.013672,792.5820313,4.944381237,0.0,4.590096474,0.068626821,0.223021358,0.0,465.7487488,1532.465576,3001.858643,3520.076172,4091.474365,2140.668213,58.23894119,0.0,7.23247242,0.090678446,0.044357531,1.060724258,179.5118713,1479.286133,3724.82373,4943.889648,3154.648193,656.4052734,0.0,8.716599464,1.887107134,1.119053602,0.0,0.0,138.3771667,416.6150513,3136.61084,3050.368408,5089.782227,2680.064453,1.668841243,22.80939865
179,4.832970619,2.59273243,0.028630584,0.0,0.014123265,721.7444458,932.7252197,3590.425293,1499.400146,439.0991821,0.22601077,0.0,4.151289463,0.066107251,0.193779185,0.0,228.5586548,716.9868774,1419.187744,2005.841675,2301.327393,973.7498779,37.32310104,0.0,4.15285778,0.425578594,0.012010185,0.863035738,105.8674545,586.8015747,2092.504639,2550.623535,1741.601807,389.2296143,0.0,4.240872383,0.2271557,0.944874942,0.0,0.0,67.41665649,156.625,1687.983154,1509.026245,2861.939697,1495.621826,0.184611499,12.11449718
180,3.450294733,1.357771158,0.014270061,0.0,0.0,824.2249146,1245.010986,3664.410156,1675.845215,458.125824,9.698513031,0.0,1.558075666,0.003902475,0.134629726,0.0,272.6549377,921.7854004,1675.507935,1769.226685,2204.141602,1315.143188,24.38843155,0.165594518,4.241863251,0.0,0.046879295,0.100395277,114.0418472,1126.673828,2088.189453,2436.424805,1821.763062,349.3817139,0.0,6.637514114,0.699198008,0.296874523,0.0,0.0,90.0109787,265.5123901,1911.511719,1819.549805,2693.204102,1447.683594,0.0,18.98210144
